year,state_po,district,candidate,party,source
1990,FL,08,C. W. Bill Young,REP,FEC Federal Elections 1990 (Unopposed)
1990,FL,10,Andy Ireland,REP,FEC Federal Elections 1990 (Unopposed)
1990,FL,12,Tom Lewis,REP,FEC Federal Elections 1990 (Unopposed)
1990,FL,13,Porter J. Goss,REP,FEC Federal Elections 1990 (Unopposed)
1990,FL,16,Larry Smith,DEM,FEC Federal Elections 1990 (Unopposed)
1990,LA,06,Richard H. Baker,REP,FEC Federal Elections 1990 (Louisiana note: declared elected unopposed)
1992,FL,21,Lincoln Diaz-Balart,REP,House Clerk Statistics of the Congressional Election 1992
1994,FL,04,Tillie K. Fowler,REP,House Clerk Statistics of the Congressional Election 1994
1994,FL,10,C. W. Bill Young,REP,House Clerk Statistics of the Congressional Election 1994
1994,FL,13,Dan Miller,REP,House Clerk Statistics of the Congressional Election 1994
1994,FL,14,Porter J. Goss,REP,House Clerk Statistics of the Congressional Election 1994
1994,FL,18,Ileana Ros-Lehtinen,REP,House Clerk Statistics of the Congressional Election 1994
1994,FL,23,Alcee L. Hastings,DEM,House Clerk Statistics of the Congressional Election 1994
1996,FL,04,Tillie K. Fowler,REP,House Clerk Statistics of the Congressional Election 1996
1996,LA,01,Bob Livingston,REP,House Clerk Statistics of the Congressional Election 1996
1996,LA,02,William J. Jefferson,DEM,House Clerk Statistics of the Congressional Election 1996
1996,LA,03,W. J. (Billy) Tauzin,REP,House Clerk Statistics of the Congressional Election 1996
1998,AR,01,Marion Berry,DEM,House Clerk Statistics of the Congressional Election 1998
1998,FL,04,Tillie K. Fowler,REP,House Clerk Statistics of the Congressional Election 1998
1998,FL,06,Cliff Stearns,REP,House Clerk Statistics of the Congressional Election 1998
1998,FL,07,John L. Mica,REP,House Clerk Statistics of the Congressional Election 1998
1998,FL,09,Michael Bilirakis,REP,House Clerk Statistics of the Congressional Election 1998
1998,FL,10,C. W. Bill Young,REP,House Clerk Statistics of the Congressional Election 1998
1998,FL,12,Charles T. Canady,REP,House Clerk Statistics of the Congressional Election 1998
1998,FL,13,Dan Miller,REP,House Clerk Statistics of the Congressional Election 1998
1998,FL,14,Porter J. Goss,REP,House Clerk Statistics of the Congressional Election 1998
1998,FL,16,Mark Foley,REP,House Clerk Statistics of the Congressional Election 1998
1998,FL,17,Carrie P. Meek,DEM,House Clerk Statistics of the Congressional Election 1998
1998,FL,18,Ileana Ros-Lehtinen,REP,House Clerk Statistics of the Congressional Election 1998
1998,FL,19,Robert Wexler,DEM,House Clerk Statistics of the Congressional Election 1998
1998,FL,20,Peter Deutsch,DEM,House Clerk Statistics of the Congressional Election 1998
1998,FL,22,E. Clay Shaw Jr.,REP,House Clerk Statistics of the Congressional Election 1998
1998,FL,23,Alcee L. Hastings,DEM,House Clerk Statistics of the Congressional Election 1998
1998,LA,01,Bob Livingston,REP,House Clerk Statistics of the Congressional Election 1998
1998,LA,03,W. J. (Billy) Tauzin,REP,House Clerk Statistics of the Congressional Election 1998
1998,LA,04,Jim McCrery,REP,House Clerk Statistics of the Congressional Election 1998
1998,LA,05,John Cooksey,REP,House Clerk Statistics of the Congressional Election 1998
1998,LA,07,Christopher John,DEM,House Clerk Statistics of the Congressional Election 1998
2000,AR,03,Asa Hutchinson,REP,House Clerk Statistics of the Congressional Election 2000
2000,LA,02,William J. Jefferson,DEM,House Clerk Statistics of the Congressional Election 2000
2002,FL,10,C. W. Bill Young,REP,House Clerk Statistics of the Congressional Election 2002
2002,FL,11,Jim Davis,DEM,House Clerk Statistics of the Congressional Election 2002
2002,FL,12,Adam H. Putnam,REP,House Clerk Statistics of the Congressional Election 2002
2002,FL,14,Porter J. Goss,REP,House Clerk Statistics of the Congressional Election 2002
2002,FL,20,Peter Deutsch,DEM,House Clerk Statistics of the Congressional Election 2002
2002,FL,21,Lincoln Diaz-Balart,REP,House Clerk Statistics of the Congressional Election 2002
2004,AR,04,Mike Ross,DEM,FEC Federal Elections 2004 (Unopposed)
2004,FL,07,John L. Mica,REP,FEC Federal Elections 2004 (Unopposed)
2004,FL,19,Robert Wexler,DEM,FEC Federal Elections 2004 (Unopposed)
2004,FL,23,Alcee L. Hastings,DEM,FEC Federal Elections 2004 (Unopposed)
2004,FL,24,Tom Feeney,REP,FEC Federal Elections 2004 (Unopposed)
2004,FL,25,Mario Diaz-Balart,REP,FEC Federal Elections 2004 (Unopposed)
2004,LA,04,Jim McCrery,REP,FEC Federal Elections 2004 (Unopposed)
