"county_fips","county_key","berry_tally","us_senate_total_1998","tally_over_senate_total"
5001,"ARKANSAS",3482,5309,0.656
5021,"CLAY",0,5276,0
5023,"CLEBURNE",4289,7530,0.57
5031,"CRAIGHEAD",0,19736,0
5035,"CRITTENDEN",NA,10675,NA
5037,"CROSS",0,4873,0
5049,"FULTON",1734,3107,0.558
5055,"GREENE",0,9134,0
5063,"INDEPENDENCE",5025,9252,0.543
5065,"IZARD",0,4900,0
5067,"JACKSON",0,5077,0
5075,"LAWRENCE",0,5198,0
5077,"LEE",0,3673,0
5085,"LONOKE",0,13404,0
5093,"MISSISSIPPI",7697,10743,0.716
5095,"MONROE",0,3089,0
5107,"PHILLIPS",3778,7998,0.472
5111,"POINSETT",3200,5927,0.54
5117,"PRAIRIE",166,3117,0.053
5121,"RANDOLPH",1875,4190,0.447
5123,"STFRANCIS",3396,7666,0.443
5129,"SEARCY",0,2977,0
5135,"SHARP",0,5575,0
5137,"STONE",1912,3897,0.491
5147,"WOODRUFF",1260,2366,0.533
