"year","county_fips","district","party_group","old_votes","new_votes","diff"
1998,6001,"10","OTHER",1327,2422,1095
1998,6001,"10","REP",30948,29853,-1095
1998,6013,"10","OTHER",2614,4954,2340
1998,6013,"10","REP",75786,73446,-2340
1998,6029,"21","OTHER",0,23284,23284
1998,6029,"21","REP",107257,83973,-23284
1998,6037,"36","OTHER",6678,8239,1561
1998,6037,"36","REP",90404,88843,-1561
1998,6059,"47","OTHER",4298,5667,1369
1998,6059,"47","REP",134080,132711,-1369
1998,6079,"22","OTHER",975,1472,497
1998,6079,"22","REP",40905,40408,-497
1998,6083,"22","OTHER",1604,2348,744
1998,6083,"22","REP",46263,45519,-744
1998,6107,"21","OTHER",0,7710,7710
1998,6107,"21","REP",39726,32016,-7710
2000,6015,"01","OTHER",319,418,99
2000,6015,"01","REP",2874,2775,-99
2000,6023,"01","OTHER",3278,3911,633
2000,6023,"01","REP",14316,13683,-633
2000,6033,"01","OTHER",806,1012,206
2000,6033,"01","REP",5857,5651,-206
2000,6037,"36","OTHER",8337,11886,3549
2000,6037,"36","REP",115143,111594,-3549
2000,6045,"01","OTHER",2779,3490,711
2000,6045,"01","REP",9273,8562,-711
2000,6053,"17","OTHER",4717,6040,1323
2000,6053,"17","REP",34365,33042,-1323
2000,6055,"01","OTHER",2142,2655,513
2000,6055,"01","REP",13185,12672,-513
2000,6059,"48","OTHER",8683,15355,6672
2000,6059,"48","REP",92040,85368,-6672
2000,6065,"44","OTHER",2012,6147,4135
2000,6065,"44","REP",127873,123738,-4135
2000,6065,"48","OTHER",906,1567,661
2000,6065,"48","REP",14747,14086,-661
2000,6069,"17","OTHER",519,787,268
2000,6069,"17","REP",5168,4900,-268
2000,6073,"48","OTHER",5949,9856,3907
2000,6073,"48","REP",65080,61173,-3907
2000,6079,"22","OTHER",1664,2815,1151
2000,6079,"22","REP",53600,52449,-1151
2000,6083,"22","OTHER",2284,3623,1339
2000,6083,"22","REP",61984,60645,-1339
2000,6083,"23","OTHER",151,259,108
2000,6083,"23","REP",2449,2341,-108
2000,6087,"17","OTHER",6485,7157,672
2000,6087,"17","REP",14287,13615,-672
2000,6095,"01","OTHER",2774,3496,722
2000,6095,"01","REP",16744,16022,-722
2000,6097,"01","OTHER",1451,1728,277
2000,6097,"01","REP",7899,7622,-277
2000,6111,"23","OTHER",5013,11378,6365
2000,6111,"23","REP",123503,117138,-6365
