year,state_fips,po,district,kind,candidate,party_group,votes,new,method,evidence
1990,6,CA,01,placeholder,Democratic Candidate,DEM,96468,Douglas H. Bosco,vote_total,wikipedia votes 96468
1990,6,CA,01,placeholder,Other Candidate 1,OTHER,34011,Darlene G. Comingore,vote_total,wikipedia votes 34011
1990,6,CA,01,placeholder,Republican Candidate,REP,99782,Frank Riggs,vote_total,wikipedia votes 99782
1990,6,CA,02,placeholder,Democratic Candidate,DEM,65333,"Erwin E. ""Bill"" Rush",vote_total,wikipedia votes 65333
1990,6,CA,02,placeholder,Other Candidate 1,OTHER,10753,Ross Crain,vote_total,wikipedia votes 10753
1990,6,CA,02,placeholder,Republican Candidate,REP,133315,Wally Herger,vote_total,wikipedia votes 133315
1990,6,CA,03,placeholder,Democratic Candidate,DEM,132143,Robert Matsui,vote_total,wikipedia votes 132143
1990,6,CA,03,placeholder,Other Candidate 1,OTHER,10797,David M. McCann,vote_total,wikipedia votes 10797
1990,6,CA,03,placeholder,Republican Candidate,REP,76148,Lowell Patrick Landowski,vote_total,wikipedia votes 76148
1990,6,CA,04,placeholder,Democratic Candidate,DEM,115090,Vic Fazio,vote_total,wikipedia votes 115090
1990,6,CA,04,placeholder,Other Candidate 1,OTHER,12626,Bryce Bigwood,vote_total,wikipedia votes 12626
1990,6,CA,04,placeholder,Republican Candidate,REP,82738,Mark R. Baughman,vote_total,wikipedia votes 82738
1990,6,CA,05,placeholder,Democratic Candidate,DEM,120633,Nancy Pelosi,vote_total,wikipedia votes 120633
1990,6,CA,05,placeholder,Republican Candidate,REP,35671,Alan Nichols,vote_total,wikipedia votes 35671
1990,6,CA,06,placeholder,Democratic Candidate,DEM,137306,Barbara Boxer,vote_total,wikipedia votes 137306
1990,6,CA,06,placeholder,Republican Candidate,REP,64402,Bill Boerum,vote_total,wikipedia votes 64402
1990,6,CA,07,placeholder,Democratic Candidate,DEM,121080,George Miller,vote_total,wikipedia votes 121080
1990,6,CA,07,placeholder,Republican Candidate,REP,79031,Roger A. Payton,vote_total,wikipedia votes 79031
1990,6,CA,08,placeholder,Democratic Candidate,DEM,119645,Ronald Dellums,vote_total,wikipedia votes 119645
1990,6,CA,08,placeholder,Republican Candidate,REP,75544,Barbara Galewski,vote_total,wikipedia votes 75544
1990,6,CA,09,placeholder,Democratic Candidate,DEM,94739,Pete Stark,vote_total,wikipedia votes 94739
1990,6,CA,09,placeholder,Republican Candidate,REP,67412,Victor Romero,vote_total,wikipedia votes 67412
1990,6,CA,10,placeholder,Democratic Candidate,DEM,81875,Don Edwards,vote_total,wikipedia votes 81875
1990,6,CA,10,placeholder,Other Candidate 1,OTHER,15,Peter James,vote_total,wikipedia votes 15
1990,6,CA,10,placeholder,Republican Candidate,REP,48747,Mark Patrosso,vote_total,wikipedia votes 48747
1990,6,CA,11,placeholder,Democratic Candidate,DEM,105029,Tom Lantos,vote_total,wikipedia votes 105029
1990,6,CA,11,placeholder,Other Candidate 1,OTHER,8518,June R. Genis,vote_total,wikipedia votes 8518
1990,6,CA,11,placeholder,Republican Candidate,REP,45818,Bill Quarishi,vote_total,wikipedia votes 45818
1990,6,CA,12,placeholder,Democratic Candidate,DEM,69270,Bob Palmer,vote_total,wikipedia votes 69270
1990,6,CA,12,placeholder,Other Candidate 1,OTHER,11271,Chuck Olson,vote_total,wikipedia votes 11271
1990,6,CA,12,placeholder,Republican Candidate,REP,125157,Tom Campbell,vote_total,wikipedia votes 125157
1990,6,CA,13,placeholder,Democratic Candidate,DEM,97286,Norm Mineta,vote_total,wikipedia votes 97286
1990,6,CA,13,placeholder,Other Candidate 1,OTHER,10587,John H. Webster,vote_total,wikipedia votes 10587
1990,6,CA,13,placeholder,Republican Candidate,REP,59773,David E. Smith,vote_total,wikipedia votes 59773
1990,6,CA,14,placeholder,Democratic Candidate,DEM,120742,Patricia Malberg,vote_total,wikipedia votes 120742
1990,6,CA,14,placeholder,Republican Candidate,REP,128039,John Doolittle,party_D_R,wikipedia votes 128309 vs ours 128039
1990,6,CA,15,placeholder,Democratic Candidate,DEM,97147,Gary Condit,vote_total,wikipedia votes 97147
1990,6,CA,15,placeholder,Republican Candidate,REP,49634,Cliff Burris,vote_total,wikipedia votes 49634
1990,6,CA,16,placeholder,Democratic Candidate,DEM,134236,Leon Panetta,vote_total,wikipedia votes 134236
1990,6,CA,16,placeholder,Other Candidate 1,OTHER,6881,Brian H. Tucker,vote_total,wikipedia votes 6881
1990,6,CA,16,placeholder,Republican Candidate,REP,39885,Jerry M. Reiss,vote_total,wikipedia votes 39885
1990,6,CA,17,placeholder,Democratic Candidate,DEM,82611,Cal Dooley,vote_total,wikipedia votes 82611
1990,6,CA,17,placeholder,Republican Candidate,REP,68848,"Charles ""Chip"" Pashayan",vote_total,wikipedia votes 68848
1990,6,CA,18,placeholder,Democratic Candidate,DEM,98804,Richard Lehman,vote_total,wikipedia votes 98804
1990,6,CA,18,placeholder,Republican Candidate,REP,0,NA,unmatched,NA
1990,6,CA,19,placeholder,Democratic Candidate,DEM,76991,Anita Perez Ferguson,vote_total,wikipedia votes 76991
1990,6,CA,19,placeholder,Other Candidate 1,OTHER,1655,Mindy Lorenz,vote_total,wikipedia votes 1655
1990,6,CA,19,placeholder,Republican Candidate,REP,94599,Bob Lagomarsino,vote_total,wikipedia votes 94599
1990,6,CA,20,placeholder,Democratic Candidate,DEM,65101,Michael A. Thomas,vote_total,wikipedia votes 65101
1990,6,CA,20,placeholder,Other Candidate 1,OTHER,10862,William Howard Dilbeck / Lita Martin Reid,pooled_minor_sum,sum of 2 wikipedia candidates = 10862
1990,6,CA,20,placeholder,Republican Candidate,REP,112962,Bill Thomas,vote_total,wikipedia votes 112962
1990,6,CA,21,placeholder,Democratic Candidate,DEM,68921,Richard D. Freiman,vote_total,wikipedia votes 68921
1990,6,CA,21,placeholder,Other Candidate 1,OTHER,15364,Peggy L. Christensen,vote_total,wikipedia votes 15364
1990,6,CA,21,placeholder,Republican Candidate,REP,118326,Elton Gallegly,vote_total,wikipedia votes 118326
1990,6,CA,22,placeholder,Democratic Candidate,DEM,61630,David Bayer,vote_total,wikipedia votes 61630
1990,6,CA,22,placeholder,Other Candidate 1,OTHER,10665,William H. Wilson / Jan B. Tucker,pooled_minor_sum,sum of 2 wikipedia candidates = 10665
1990,6,CA,22,placeholder,Republican Candidate,REP,108634,Carlos J. Moorhead,vote_total,wikipedia votes 108634
1990,6,CA,23,placeholder,Democratic Candidate,DEM,103141,Anthony C. Beilenson,vote_total,wikipedia votes 103141
1990,6,CA,23,placeholder,Other Candidate 1,OTHER,6834,John Honigsfeld,vote_total,wikipedia votes 6834
1990,6,CA,23,placeholder,Republican Candidate,REP,57118,Jim Salomon,vote_total,wikipedia votes 57118
1990,6,CA,24,placeholder,Democratic Candidate,DEM,71562,Henry Waxman,vote_total,wikipedia votes 71562
1990,6,CA,24,placeholder,Other Candidate 1,OTHER,5706,Maggie Phair,vote_total,wikipedia votes 5706
1990,6,CA,24,placeholder,Republican Candidate,REP,26607,John N. Cowles,vote_total,wikipedia votes 26607
1990,6,CA,25,placeholder,Democratic Candidate,DEM,48120,Edward R. Roybal,vote_total,wikipedia votes 48120
1990,6,CA,25,placeholder,Other Candidate 1,OTHER,3576,Robert H. Scott,vote_total,wikipedia votes 3576
1990,6,CA,25,placeholder,Republican Candidate,REP,17021,Steven J. Renshaw,vote_total,wikipedia votes 17021
1990,6,CA,26,placeholder,Democratic Candidate,DEM,78031,Howard Berman,vote_total,wikipedia votes 78031
1990,6,CA,26,placeholder,Other Candidate 1,OTHER,5268,Bernard Zimring,vote_total,wikipedia votes 5268
1990,6,CA,26,placeholder,Republican Candidate,REP,44492,Roy Dahlson,vote_total,wikipedia votes 44492
1990,6,CA,27,placeholder,Democratic Candidate,DEM,90857,Mel Levine,vote_total,wikipedia votes 90857
1990,6,CA,27,placeholder,Other Candidate 1,OTHER,7101,Edward E. Ferrer,vote_total,wikipedia votes 7101
