"source_affected","state","years","sample","issue","evidence","action","status","rows_affected","where_fixed","date"
"MEDSL","MN","2016;2020;2022","HE","Democratic-Farmer-Labor party not classified as Democrat: demovote = 0 for every county (2020/2022 party_simplified = OTHER; 2016 exact-string match failed on 'Democratic-Farmer-Labor')","party_detailed = DEMOCRATIC FARMER LABOR but party_simplified = OTHER for all MN rows in 2020 and 2022; statewide D share was 0","Added DFL-pattern override in 01a; recomputed MN 2016/2020/2022 HE rows from raw precinct files and replaced them in the panel","fixed","261 (87 counties x 3 years)","R/data_creation/01a_election_data_medsl.R; panel patched in place","2026-09 (approx)"
"MEDSL","OR;VT","2016","HE;SE","Fusion / bare-word party strings (e.g. Democratic + Working Families) failed an exact-match classifier, zeroing demovote and partly repuvote","Found while cross-checking the Oregon build against the panel; both House and Senate 2016 affected","Replaced exact match with substring match on the democrat/republican token in the 2016 classifier; panel rows patched. Small residual imprecision accepted for Multnomah/Clackamas","fixed","50 HE (OR 36, VT 14) + 1 SE (OR)","R/data_creation/01a_election_data_medsl.R; panel patched in place","2026-09-18"
"MEDSL","ME","2018","HE","Only 6 of 16 counties present, and only their District 1 portions (District 2 Golden/Poliquin race missing entirely); OpenElections 2018 has the same gap","MEDSL Kennebec 34,196 vs OpenElections CD1-only 33,403; SOS CD1+CD2 tie to printed totals","Replaced with Maine SOS town/ward files (CD1 + CD2 first-round votes)","replaced","6 rows replaced by 16","R/data_creation/01bq_house_county_maine_2018.R","2026-09-19"
"MEDSL","LA","2024","HE","Raw MEDSL file carries only about half of Louisiana House votes","house_2024.raw LA total 957,388 vs SOS 1,905,718 and presidential 2,006,975; Mike Johnson 137,756 vs SOS LA-4 total 306,248; SOS matches MEDSL exactly in 2016-2022","Replaced with Louisiana SOS parish-level results (first-round, Nov 5 2024)","replaced","64 rows","R/data_creation/01bx_house_county_louisiana_sos.R -> elect_he_cty_la_sos_2024.rds","2026-09-20"
"OpenElections","LA","2004","HE","Repo file 20041204__la__general.csv is misdated: it holds the 2014 Dec-6 runoffs (Abraham/Mayo, Graves/Edwards), not the real 2004 runoffs","Candidate names belong to 2014; real Dec-4-2004 runoffs were Melancon/Tauzin III (LA-3) and Boustany/Mount (LA-7)","Removed all 140 OpenElections-based LA rows (2002-2014, coverage 3-56%) and replaced with SOS build; 01ae marked SUPERSEDED","replaced","35 mislabeled 2004 rows (140 old rows replaced by 714 new)","R/data_creation/01bw_louisiana_results_download.R; 01bx_house_county_louisiana_sos.R","2026-09-20"
"panel (stale)","NY","2000;2012;2014","HE","Panel held pre-fix rows: totalvote doubled by uncaught Total / Ballots Cast pseudo-rows, shares halved (two-party sum ~0.3-0.45). The NY script fix reached elect_he_cty_ny.rds but not the panel","Found by provenance check: panel totalvote = ~2x source; source/presidential ratio 1.01 (2000) vs panel 2.02","Replaced panel rows with the corrected elect_he_cty_ny.rds rows","fixed","132 (62 + 8 + 62)","elect_cty_final.rds (re-synced to source)","2026-09-20"
"panel (stale)","KY","1990","HE","Letcher County row missing 138 District-5 votes (older parse, before the uncontested-district fix)","Raw 1990 file: 138 (CD5) + 2,245 + 2,653 (CD7) = 5,036 = source; panel had 4,898","Replaced panel row with elect_he_cty_ky.rds row","fixed","1","elect_cty_final.rds (re-synced to source)","2026-09-20"
"OpenElections","NY","2012","HE","Raw 2012 precinct data appears doubled in some counties: candidate rows sum to ~2x the county presidential total. Shares are unaffected, totalvote is ~2x too high","totalvote / presidential total = 2.01-2.02 for 36003, 36051, 36073, 36097, 36101 and 2.81 for 36079 (Allegany raw: Reed + Shinagawa + blanks = 34,146 vs presidential 16,953); the other 50 counties sit near 1","Not fixed; needs a look at the raw file for these counties","flagged","6 counties (totalvote only)","elect_he_cty_ny.rds (01o_house_county_new_york.R)","2026-09-20"
"MEDSL","KY","2016","HE","Winning candidate's party recorded as OTHER for uncontested races","Clay County 2016: Hal Rogers unopposed, only party row is OTHER","Not fixed; the KY-PDF-sourced pre-2016 data is unaffected","flagged","26 counties have neither major-party share (one_party flag; upper bound)","n/a","2026-09-20"
"MEDSL","AL","2016","HE","Totals looked internally inflated (statewide ~3.04M vs ~1.89M plausible)","Same cause as the AL;SC;AR;IN entry: 1.16M straight-party votes counted as House votes","Fixed by the office filter (see the AL;SC;AR;IN;KY;DC entry)","fixed","67 counties","R/data_creation/01cg_medsl_office_filter_apply.R","2026-09-20"
