"source","sample","state_fips","rows","years"
"se_cty_historical","SE",13,159,"2000"
"se_cty_historical","SE",29,115,"2002"
"se_cty_historical","SE",18,92,"1990"
"se_cty_historical","SE",40,77,"1994"
"se_cty_historical","SE",1,67,"2017"
"se_cty_historical","SE",54,55,"2010"
"pe_cty_historical","PE",NA,46,"1868,1872,1876,1880,1884,1888,1892,1896,1900,1904,1908,1912,1916"
"se_cty_historical","SE",4,15,"2020"
"se_cty_historical","SE",25,14,"2010"
"pe_cty_historical","PE",15,6,"2000,2004,2008,2012,2016,2020"
"pe_cty_medsl","PE",NA,3,"2012,2016,2020"
"se_cty_historical","SE",10,3,"2010"
"he_cty_va","HE",51,2,"2014,2016"
"se_cty_historical","SE",46,2,"2016,2020"
"pe_cty_historical","PE",51,1,"2000"
"se_cty_historical","SE",36,1,"2016"
