"sample","state_fips","year","one_party","rows"
"HE",1,1980,"no_dem",7
"HE",1,1980,"no_rep",35
"HE",1,1982,"no_rep",26
"HE",1,1984,"no_rep",46
"HE",1,1986,"no_dem",7
"HE",1,1988,"no_dem",13
"HE",1,1988,"no_rep",26
"HE",1,1990,"no_dem",6
"HE",1,1990,"no_rep",13
"HE",1,1994,"no_rep",12
"HE",1,1998,"no_dem",5
"HE",1,1998,"no_rep",9
"HE",1,2000,"no_dem",20
"HE",1,2000,"no_rep",6
"HE",1,2002,"no_dem",15
"HE",1,2002,"no_rep",8
"HE",1,2004,"no_dem",3
"HE",1,2006,"no_dem",3
"HE",1,2006,"no_rep",14
"HE",1,2008,"no_dem",8
"HE",1,2008,"no_rep",8
"HE",1,2010,"no_dem",20
"HE",1,2012,"no_dem",5
"HE",1,2014,"no_dem",16
"HE",1,2014,"no_rep",9
"HE",1,2016,"no_dem",17
"HE",1,2016,"no_rep",10
"HE",1,2018,"no_rep",10
"HE",1,2020,"no_dem",8
"HE",1,2020,"no_rep",10
"HE",1,2022,"no_dem",7
"HE",1,2024,"no_dem",27
"HE",4,2016,"no_rep",1
"HE",4,2022,"no_dem",1
"HE",5,1998,"no_dem",16
"HE",5,2002,"no_dem",11
"HE",5,2002,"no_rep",8
"HE",5,2008,"no_dem",12
"HE",5,2008,"no_rep",37
"HE",5,2012,"no_dem",6
"HE",5,2014,"no_dem",6
"HE",5,2016,"no_dem",68
"HE",5,2020,"no_dem",28
"HE",6,1990,"no_dem",1
"HE",6,1990,"no_rep",4
"HE",6,1992,"no_rep",2
"HE",6,1998,"no_dem",2
"HE",6,1998,"no_rep",2
"HE",6,2000,"no_dem",1
"HE",6,2006,"no_rep",1
"HE",6,2008,"no_rep",1
"HE",6,2010,"no_dem",1
"HE",6,2012,"no_dem",2
"HE",6,2014,"no_dem",6
"HE",6,2014,"no_rep",3
"HE",6,2018,"no_dem",2
"HE",6,2018,"no_rep",3
"HE",6,2022,"no_rep",1
"HE",8,2006,"no_rep",1
"HE",8,2012,"no_dem",4
"HE",10,2018,"neither_major_party",1
"HE",11,2016,"no_rep",1
"HE",11,2018,"no_rep",1
"HE",11,2022,"no_rep",1
"HE",12,1992,"no_dem",2
"HE",12,1994,"no_dem",3
"HE",12,1998,"no_dem",5
"HE",12,1998,"no_rep",24
"HE",12,2000,"no_dem",12
"HE",12,2000,"no_rep",1
