"sample","source","status","rows","first_year","last_year"
"HE","he_cty_al","as_source",64,2014,2014
"HE","he_cty_al_historical","as_source",1137,1980,2012
"HE","he_cty_ar","as_source",270,2008,2014
"HE","he_cty_ar_1990","as_source",75,1990,1990
"HE","he_cty_ar_1992","as_source",75,1992,1992
"HE","he_cty_ar_1994","as_source",75,1994,1994
"HE","he_cty_ar_1996","as_source",75,1996,1996
"HE","he_cty_ar_1998","as_source",50,1998,1998
"HE","he_cty_ar_2000","as_source",59,2000,2000
"HE","he_cty_ar_2002","as_source",74,2002,2002
"HE","he_cty_ar_2006","as_source",75,2006,2006
"HE","he_cty_az","as_source",120,2000,2014
"HE","he_cty_az_1990","as_source",15,1990,1990
"HE","he_cty_az_1992","as_source",15,1992,1992
"HE","he_cty_az_1994","as_source",15,1994,1994
"HE","he_cty_az_1996","as_source",15,1996,1996
"HE","he_cty_az_1998","as_source",15,1998,1998
"HE","he_cty_ca","as_source",406,2002,2014
"HE","he_cty_ca_1990","as_source",58,1990,1990
"HE","he_cty_ca_1992","as_source",58,1992,1992
"HE","he_cty_ca_1994","as_source",58,1994,1994
"HE","he_cty_ca_1996","as_source",58,1996,1996
"HE","he_cty_ca_historical","as_source",116,1998,2000
"HE","he_cty_co","as_source",448,2002,2014
"HE","he_cty_co_1990","as_source",63,1990,1990
"HE","he_cty_co_1992","as_source",63,1992,1992
"HE","he_cty_co_1994","as_source",63,1994,1994
"HE","he_cty_co_1996","as_source",63,1996,1996
"HE","he_cty_co_1998","as_source",63,1998,1998
"HE","he_cty_co_2000","as_source",63,2000,2000
"HE","he_cty_ctelh_1990","as_source",8,1990,1990
"HE","he_cty_ctelh_1992","as_source",8,1992,1992
"HE","he_cty_ctelh_1994","as_source",8,1994,1994
"HE","he_cty_ctelh_1996","as_source",8,1996,1996
"HE","he_cty_ctelh_1998","as_source",5,1998,1998
"HE","he_cty_ctelh_2000","as_source",8,2000,2000
"HE","he_cty_ctelh_2002","as_source",8,2002,2002
"HE","he_cty_ctelh_2004","as_source",8,2004,2004
"HE","he_cty_ctelh_2006","as_source",8,2006,2006
"HE","he_cty_ctelh_2008","as_source",8,2008,2008
"HE","he_cty_ctelh_2010","as_source",8,2010,2010
"HE","he_cty_ctelh_2012","as_source",8,2012,2012
"HE","he_cty_ctelh_2014","as_source",8,2014,2014
"HE","he_cty_de","as_source",21,2000,2014
"HE","he_cty_dede_1990","as_source",3,1990,1990
"HE","he_cty_dede_1992","as_source",3,1992,1992
"HE","he_cty_dede_1994","as_source",3,1994,1994
"HE","he_cty_dede_1996","as_source",3,1996,1996
"HE","he_cty_dede_2012","as_source",3,2012,2012
"HE","he_cty_fl","as_source",796,1992,2016
"HE","he_cty_ga","as_source",1113,2000,2014
"HE","he_cty_ga_2012","as_source",159,2012,2012
