state,cd,year,total_vote,rep_vote,rep_candidate,dem_vote,dem_candidate,other_vote,plurality_vote,plurality_party,source_volume,confidence,validation_pct_diff
ALABAMA,1,2000,165669.0,151188.0,"CALLAHAN, H. L",,,14481.0,151188.0,R,24,high,
ALABAMA,1,1998,113564.0,112872.0,"CALLAHAN, H. L",,,692.0,112872.0,R,24,high,
ALABAMA,1,1996,205417.0,32206.0,"CALLAHAN, H. L",69470.0,"WOMACK, DON",3741.0,62736.0,R,24,high,0.4868146258586193
ALABAMA,1,1994,153767.0,103431.0,"CALLAHAN, H. L",50227.0,"WOMACK, DON",109.0,53204.0,R,24,high,0.0
ALABAMA,1,1992,214204.0,128874.0,"CALLAHAN, H. L",78742.0,"BREWER, WILLLIAM A.",6588.0,50132.0,R,24,high,0.0
ALABAMA,5,2000,209514.0,,,186059.0,"CRAMER, BUD",23455.0,186059.0,D,24,high,
ALABAMA,5,1998,193490.0,58536.0,"AUST, GIL",134819.0,"CRAMER, BUD",135.0,76283.0,D,24,high,0.0
ALABAMA,5,1996,205547.0,86727.0,"PARKER, WAYNE",114442.0,"CRAMER, BUD",4378.0,27715.0,D,24,high,0.0
ALABAMA,5,1994,175693.0,86923.0,"PARKER, WAYNE",88693.0,"CRAMER, BUD",11.0,1770.0,D,24,high,0.00037565526230413275
ALABAMA,5,1992,244133.0,77951.0,"SMITH, TERRY",160060.0,"CRAMER, BUD",6.0,82109.0,D,24,high,0.02505191842151614
ALASKA,AL,2000,274393.0,190862.0,"YOUNG, DON",45372.0,"GREENE, CLIFFORD",38159.0,145490.0,R,24,high,0.0
ALASKA,AL,1998,223300.0,139676.0,"YOUNG, DON",77232.0,"DUNCAN, JIM",6392.0,62444.0,R,24,high,0.0
ALASKA,AL,1996,233700.0,138834.0,"YOUNG, DON",85114.0,"LINCOLN, GEORGIANNA",9752.0,53720.0,R,24,high,0.0
ALASKA,AL,1994,208240.0,118537.0,"YOUNG, DON",68172.0,"SMITH, TONY",21531.0,50365.0,R,24,high,0.0
ALASKA,AL,1992,239116.0,111849.0,"YOUNG, DON",102378.0,"DEVENS, JOHN S.",24889.0,9471.0,R,24,high,0.0
ALASKA,AL,1990,191647.0,99003.0,"YOUNG, DON",91677.0,"DEVENS, JOHN S.",967.0,7326.0,R,24,high,0.0
ALASKA,AL,1988,192955.0,120595.0,"YOUNG, DON",71881.0,"GRUENSTEIN, PETER",479.0,48714.0,R,24,high,0.0
ALASKA,AL,1986,180277.0,101799.0,"YOUNG, DON",74053.0,"BEGICH, PEGGE",4425.0,27746.0,R,24,high,0.0
ALASKA,AL,1984,206437.0,113582.0,"YOUNG, DON",86052.0,"BEGICH, PEGGE",6803.0,27530.0,R,24,high,0.0
ALASKA,AL,1982,181084.0,128274.0,"YOUNG, DON",52011.0,"CARLSON, DAVE",799.0,76263.0,R,24,high,0.0
ALASKA,AL,1980,154618.0,114089.0,"YOUNG, DON",39922.0,"PARNELL, KEVIN",607.0,74167.0,R,24,high,0.0
ALASKA,AL,1978,124187.0,68811.0,"YOUNG, DON",55176.0,"RODEY, PATRICK",200.0,13635.0,R,24,high,0.0
ALASKA,AL,1976,118208.0,83722.0,"YOUNG, DON",34194.0,"HOPSON, EBEN",292.0,49528.0,R,24,high,0.0
ALASKA,AL,1974,95921.0,51641.0,"YOUNG, DON",44280.0,"HENSLEY, WILLIAM L.",,7361.0,R,24,high,
ALASKA,AL,1972,95401.0,41750.0,"YOUNG, DON",53651.0,"BEGICH, N. J.",,11901.0,D,24,high,
ALASKA,AL,1970,80084.0,35947.0,"MURKOWSKI, FRANK H.",44137.0,"BEGICH, N. j.",,8190.0,D,24,high,
ALASKA,AL,1968,80362.0,43577.0,"POLLOCK, HOWARD W.",36785.0,"BEGICH, N. .",,6792.0,R,24,high,
ALASKA,AL,1966,65907.0,34040.0,"POLLOCK, HOWARD W.",31867.0,"RIVERS, RALPH J.",,2173.0,R,24,high,
ALASKA,AL,1964,67146.0,32556.0,"THOMAS, LOWELL",34590.0,"RIVERS, RALPH .",,2034.0,D,24,high,
ALASKA,AL,1962,58591.0,26638.0,"THOMAS, LOWELL",31953.0,"RIVERS, RALPH .",,5315.0,D,24,high,
ALASKA,AL,1960,59063.0,25517.0,"RETTIG, R. L.",33546.0,"RIVERS, RALPH J.",,8029.0,D,24,high,
ALASKA,AL,1958,48647.0,20699.0,"BENSON, HENRY A.",27948.0,"RIVERS, RALPH .",,7249.0,D,24,high,
ARKANSAS,1,2000,199956.0,79437.0,"MYSHKA, SUSAN",120266.0,"BERRY, MARION",253.0,40829.0,D,24,high,0.0
ARKANSAS,1,1998,,,,,,,,,24,high,
ARKANSAS,1,1996,199450.0,88436.0,"DUPWE, WARREN",105280.0,"BERRY, MARION",5734.0,16844.0,D,24,high,0.0
ARKANSAS,1,1994,178437.0,83147.0,"DUPWE, WARREN",95290.0,"LAMBERT, BLANCHE",,12143.0,D,24,high,
ARKANSAS,1,1992,214176.0,64618.0,"HAYES, TERRY",149558.0,"LAMBERT, BLANCHE",,84940.0,D,24,high,
ARKANSAS,2,2000,220649.0,93692.0,"THOMAS, BOB",126957.0,"SNYDER, VIC",,33265.0,D,24,high,
ARKANSAS,2,1998,173071.0,72737.0,"WYRICK, PHIL",100334.0,"SNYDER, VIC",,27597.0,D,24,high,
ARKANSAS,2,1996,219389.0,104548.0,"CUMMINS, BUD",114841.0,"SNYDER, VIC",,10293.0,D,24,high,
ARKANSAS,2,1994,170053.0,72473.0,"POWELL, BILL",97580.0,"THORNTON, RAY",,25107.0,D,24,high,
ARKANSAS,2,1992,208924.0,53978.0,"SCOTT, DENNIS",154946.0,"THORNTON, RAY",,100968.0,D,24,high,
ARKANSAS,3,2000,,,,,,,,,24,high,
ARKANSAS,3,1998,191697.0,154780.0,"HUTCHINSON, ASA",,,36917.0,154780.0,R,24,high,
ARKANSAS,3,1996,246132.0,137093.0,"HUTCHINSON, ASA",102994.0,"HENRY, ANN",6045.0,34099.0,R,24,high,0.0
ARKANSAS,3,1994,191683.0,129800.0,"HUTCHINSON, TIM",61883.0,"SEITZ, BERTA",,67917.0,R,24,high,
ARKANSAS,3,1992,249494.0,125295.0,"HUTCHINSON, TIM",117775.0,"VAN WINKLE, OHN",6424.0,7520.0,R,24,high,0.0
ARKANSAS,4,2000,212160.0,104017.0,"DICKEY, JAY",108143.0,"ROSS, MIKE",,4126.0,D,24,high,
ARKANSAS,4,1998,160540.0,92346.0,"DICKEY, JAY",68194.0,"SMITH, JUDY",,24152.0,R,24,high,
ARKANSAS,4,1996,198347.0,125956.0,"DICKEY, JAY",72391.0,"TOLLIVER, VINCENT",,53565.0,R,24,high,
ARKANSAS,4,1994,168839.0,87469.0,"DICKEY, JAY",81370.0,"BRADFORD, AY",,6099.0,R,24,high,
ARKANSAS,4,1992,215927.0,113009.0,"DICKEY, JAY",102918.0,"MCCUEN,W..",,10091.0,R,24,high,
CALIFORNIA,1,2000,239335.0,,,,,,,,24,high,
CALIFORNIA,1,1998,196772.0,64622.0,"LUCE, MARK",121713.0,"THOMPSON, MIKE",10437.0,57091.0,D,24,high,0.0
CALIFORNIA,1,1996,222118.0,110242.0,"RICGS, FRANK",96522.0,"ALIOTO, MICHAELA",15354.0,13720.0,R,24,high,0.0
CALIFORNIA,1,1994,200673.0,106870.0,"RICGS, FRANK",93717.0,"HAMBURG, DAN",86.0,13153.0,R,24,high,0.0
CALIFORNIA,1,1992,251206.0,113266.0,"RIGGS, FRANK",119676.0,"HAMBURG, DAN",18264.0,6410.0,D,24,high,0.0
CALIFORNIA,2,2000,255856.0,168172.0,"HERGER, WALLY",72075.0,"MORGAN, STAN",15609.0,96097.0,R,24,high,0.0
CALIFORNIA,2,1998,205367.0,128372.0,"HERGER, WALLY",70837.0,"BRADEN, ROBERTS A.",6158.0,57535.0,R,24,high,0.0
CALIFORNIA,2,1996,238333.0,144913.0,"HERGER, WALLY",80401.0,"BRADEN, ROBERTS A.",13019.0,64512.0,R,24,high,0.0
CALIFORNIA,2,1994,214809.0,137864.0,"HERGER, WALLY",55959.0,"IACOBS, MARY",20986.0,81905.0,R,24,high,0.0
CALIFORNIA,2,1992,256556.0,167247.0,"HERGER, WALLY",71780.0,"FREEDMAN, ELLIOT R.",7529.0,95467.0,R,24,high,0.03897784499290603
CALIFORNIA,3,2000,230182.0,129254.0,"OSE, DOUG",93067.0,"KENT, BOB",7861.0,36187.0,R,24,high,0.0
CALIFORNIA,3,1998,192006.0,100621.0,"OSE, DOUG",86471.0,"DUNN, SANDIE",4914.0,14150.0,R,24,high,0.0
CALIFORNIA,3,1996,221737.0,91134.0,"LEFEVER, TIM",118663.0,"FAZIO, VIC",11940.0,,,24,high,0.0
CALIFORNIA,3,1994,195157.0,89964.0,"LEFEVER, TIM",97093.0,"FAZIO, VIC",8100.0,7129.0,D,24,high,0.0
CALIFORNIA,3,1992,238685.0,96092.0,"RICHARDSON, H. L.",122149.0,"FAZIO, VIC",20444.0,26057.0,D,24,high,0.0
COLORADO,1,2000,206434.0,56291.0,"THOMAS, JESSE L.",141831.0,"DEGETTE, DIANA",8312.0,85540.0,D,24,high,0.0
COLORADO,1,1998,174305.0,52452.0,"MCCLANAHAN, NANCY",116628.0,"DEGETTE, DIANA",5225.0,64176.0,D,24,high,0.0
COLORADO,1,1996,197839.0,79540.0,"ROGERS, JOE",112631.0,"DEGETTE, DIANA",5668.0,33091.0,D,24,high,0.0
COLORADO,1,1994,155255.0,61978.0,"EGGERT, WILLIAM F.",93123.0,"SCHROEDER, PATRICIA",154.0,31145.0,D,24,high,0.0
COLORADO,1,1992,227531.0,70902.0,"ARAGON, RAYMOND D.",156629.0,"SCHROEDER, PATRICIA",,85727.0,D,24,high,
COLORADO,2,2000,283116.0,109338.0,"COX, CAROLYN",155725.0,"UDALL, MARK",18053.0,46387.0,D,24,high,0.0
COLORADO,2,1998,228442.0,108385.0,"GREENLEE, BOB",113946.0,"UDALL, MARK",6111.0,5561.0,D,24,high,0.0
COLORADO,2,1996,255784.0,97865.0,"MILLER, PATRICIA",145894.0,"SKAGGS, DAVID",12025.0,48029.0,D,24,high,0.0
COLORADO,2,1994,186661.0,80723.0,"MILLER, PATRICIA",105938.0,"SKAGGS, DAVID",,25215.0,D,24,high,
COLORADO,2,1992,271361.0,88470.0,"DAY, BRYAN",164790.0,"SKAGGS, DAVID",18101.0,76320.0,D,24,high,0.0
COLORADO,3,2000,302540.0,199204.0,"MCINNIS, SCOTT",87921.0,"IMRIE, CURTIS",15415.0,111283.0,R,24,high,0.0
COLORADO,3,1998,236653.0,156501.0,"MCINNIS, SCOTT",74479.0,"KELLEY, ROBERT REED",5673.0,82022.0,R,24,high,0.0
COLORADO,3,1996,266.0,476.0,"MCINNIS, SCOTT",183523.0,"GURULE, ALBERT L.",82953.0,100570.0,R,24,high,1002.578947368421
COLORADO,3,1994,208792.0,145365.0,"MCINNIS, SCOTT",63427.0,"POWERS, LINDA",,81938.0,R,24,high,
COLORADO,3,1992,261964.0,143293.0,"MCINNIS, SCOTT",114480.0,"CALUHAN, MIKE",4191.0,28813.0,R,24,high,0.0
COLORADO,4,2000,263006.0,209078.0,"SCHAFFER, BOB",,,53928.0,209078.0,R,24,high,
COLORADO,4,1998,221291.0,131318.0,"SCHAFFER, BOB",89973.0,"KIRKPATRICK, SUSAN",,41345.0,R,24,high,
COLORADO,4,1996,244067.0,137012.0,"SCHAFFER, BOB",92837.0,"KELLEY, GUY",14218.0,,,24,high,0.0
COLORADO,4,1994,188453.0,136251.0,"ALLARD, WAYNE",52202.0,"KIPP,   CATHY",,84049.0,R,24,high,
COLORADO,4,1992,241841.0,139884.0,"ALLARD, WAYNE",101957.0,"REDDER, TOM",,37927.0,R,24,high,
COLORADO,5,2000,306309.0,253330.0,"HEFLEY, JOEL",,,52979.0,253330.0,R,24,high,
COLORADO,5,1998,214270.0,155790.0,"HEFLEY, JOEL",55609.0,"ALFORD, KEN",2871.0,100181.0,R,24,high,0.0
COLORADO,5,1996,262465.0,188805.0,"HEFLEY, JOEL",73660.0,"ROBINSON, MIKE",,115145.0,R,24,high,
COLORADO,5,1994,138674.0,138674.0,"HEFLEY, JOEL",,,,138674.0,R,24,high,
COLORADO,5,1992,243415.0,173096.0,"HEFLEY, OEL",62550.0,"ORIEZ, CHARLES A.",7769.0,110546.0,R,24,high,0.0
COLORADO,6,2000,262.0,477.0,"TANCREDO, TOM",141410.0,"TOLTZ, KENNETH A.",110568.0,30842.0,R,24,high,962.5687022900763
COLORADO,6,1998,199188.0,111374.0,"TANCREDO, TOM",82662.0,"STRAUSS, HENRY L",5152.0,28712.0,R,24,high,0.0
COLORADO,6,1996,234618.0,146018.0,"SCHAEFER, DANIEL L",88600.0,"FITZGERALD, OAN",,57418.0,R,24,high,
COLORADO,6,1994,177709.0,124079.0,"SCHAEFER, DANIEL L.",49701.0,"HALLEN, JOHN",3929.0,74378.0,R,24,high,0.0
COLORADO,6,1992,233097.0,142021.0,"SCHAEFER, DANIEL L.",91073.0,"KOLBE, TOM",,50948.0,R,24,high,
CONNECTICUT,1,2000,211263.0,59331.0,"BACKLUND, BOB",151932.0,"LARSON, JOHN B.                                  D",,,,24,high,
CONNECTICUT,1,1998,168264.0,69668.0,"O'CONNOR, KEVIN",97681.0,"LARSON, JOHN B.",915.0,,,24,high,0.0
CONNECTICUT,1,1996,215136.0,53666.0,"SLEATH, KENT",158222.0,"KENNELLY, BARBARA B.",3248.0,104556.0,D,24,high,0.0
CONNECTICUT,1,1994,188907.0,46865.0,"PUTNAM, DOUGLAS T.",138637.0,"'KENNELLY, BARBARA B.",3405.0,91772.0,D,24,high,0.0
CONNECTICUT,1,1992,245430.0,75113.0,"STEELE, PHILIP L",164735.0,"KENNELLY, BARBARA B.",5582.0,89622.0,D,24,high,0.0
CONNECTICUT,2,2000,225900.0,114380.0,"SIMMONS, ROB",111520.0,"GEDENSON, SAMUEL",,2860.0,R,24,high,
CONNECTICUT,2,1998,163202.0,57860.0,"KOVAL, GARY M.",99567.0,"GEJDENSON, SAMUEL",5775.0,41707.0,D,24,high,0.0
CONNECTICUT,2,1996,223249.0,100332.0,"MUNSTER, EDWARD W.",115175.0,"GEJDENSON, SAMUEL",7742.0,14843.0,D,24,high,0.0
CONNECTICUT,2,1994,186073.0,79167.0,"MUNSTER, EDWARD W.",79188.0,"GEJDENSON, SAMUEL",27718.0,,,24,high,0.0
CONNECTICUT,2,1992,242707.0,119416.0,"MUNSTER, EDWARD W.",123291.0,"GEJDENSON, SAMUEL",,3875.0,D,24,high,
CONNECTICUT,3,2000,218205.0,60037.0,"GOLD, JUNE M.",156910.0,"DELAURO, ROSA L.",1258.0,96873.0,D,24,high,0.0
CONNECTICUT,3,1998,153851.0,42090.0,"REUST, MARTIN T",109726.0,"DELAURO, ROSA L.",2035.0,67636.0,D,24,high,0.0
CONNECTICUT,3,1996,211352.0,59335.0,"COPPOLA, JOHN",150798.0,"DELAURO, ROSA L.",1219.0,91463.0,D,24,high,0.0
CONNECTICUT,3,1994,175355.0,64094.0,"JOHNSON, SUSAN E.",111261.0,"DELAURO, ROSA L.",,47167.0,D,24,high,
CONNECTICUT,3,1992,247531.0,84952.0,"SCOTT, THOMAS",162568.0,"DELAURO, ROSA L.",11.0,77616.0,D,24,high,0.0
CONNECTICUT,5,2000,221821.0,98229.0,"NIELSEN, MARK",118932.0,"MALONEY, JAMES H.",4660.0,20703.0,D,24,high,0.0
CONNECTICUT,5,1998,157157.0,76051.0,"NIELSEN, MARK",78394.0,"MALONEY, JAMES H.",2712.0,2343.0,D,24,high,0.0
CONNECTICUT,5,1996,215130.0,98782.0,"FRANKS, GARY A.",111974.0,"MALONEY, JAMES H.",4374.0,13192.0,D,24,high,0.0
CONNECTICUT,5,1994,179053.0,93471.0,"FRANKS, GARY A.",81523.0,"MALONEY, JAMES H.",4059.0,11948.0,R,24,high,0.0
CONNECTICUT,5,1992,240283.0,104891.0,"FRANKS, GARY A.",74791.0,"LAWLOR, JAMES   J.",,,,24,high,
CONNECTICUT,6,2000,229543.0,143698.0,"IOHNSON, NANCY L",75471.0,"VALENTI, PAUL",10374.0,68227.0,R,24,high,0.0
CONNECTICUT,6,1998,174781.0,101630.0,"JOHNSON, NANCY L",69201.0,"KOSKOFF, CHARLOTTE",3950.0,32429.0,R,24,high,0.0
