state,cd,year,total_vote,rep_vote,rep_candidate,dem_vote,dem_candidate,other_vote,plurality_vote,plurality_party,source_volume,confidence
ALABAMA,1,2014,152234.0,103758.0,"BYRNE, BRADLEY*                                 LEFLORE, BURTON R.",55480.0,,,55480.0,R,31,low
ALABAMA,1,2012,200676.0,196374.0,"BONNER, JOSIAH ROBBINS JO JR.*",196374.0,,,196374.0,R,31,low
ALABAMA,2,2014,167952.0,113103.0,"ROBY, MARTHA*",54692.0,"WRIGHT, ERICK",,58411.0,R,31,low
ALABAMA,2,2012,283953.0,180591.0,"ROBY, MARTHA*",103092.0,"FORD, THERESE",,77499.0,R,31,low
ALABAMA,3,2014,156620.0,103558.0,"ROGERS, MIKE*",52816.0,"SMITH, JESSE TREMAIN",,50742.0,R,31,low
ALABAMA,3,2012,273930.0,175306.0,"ROGERS, MIKE*",98141.0,"HARRIS, JOHN ANDREW",,77165.0,R,31,low
ALABAMA,4,2014,134752.0,132831.0,"ADERHOLT, ROBERT B.*",132831.0,,,132831.0,R,31,low
ALABAMA,4,2012,269118.0,199071.0,NOS  Nh,69706.0,"ADERHOLT, ROBERT B.*",,129365.0,R,31,low
ALABAMA,5,2014,154974.0,115338.0,"BROOKS, MO*",115338.0,,,115338.0,R,31,low
ALABAMA,5,2012,291293.0,189185.0,"BROOKS, MO*",101772.0,"HOLLEY, CHARLIE L.",,87413.0,R,31,low
ALABAMA,6,2014,178449.0,135945.0,"PALMER, GARY J.",42291.0,"LESTER, MARK",,93654.0,R,31,low
ALABAMA,6,2012,308102.0,219262.0,"BACHUS, SPENCER*",88267.0,"BAILEY, PENNY COLONEL",,130995.0,R,31,low
ALABAMA,7,2014,135899.0,133687.0,"SEWELL, TERRI A.*",133687.0,,,133687.0,D,31,low
ALABAMA,7,2012,306558.0,73835.0,SR,232520.0,"CHAMBERLAIN, DON",,158685.0,D,31,low
ARKANSAS,1,2014,2014.0,196256.0,"CRAWFORD, Eric A. RICK""*",124139.0,"MCPHERSON, JACKIE",,60584.0,R,31,low
