"source","panel_keys","has_long","keys_without_long"
"he_cty_al",64,TRUE,0
"he_cty_al_historical",803,TRUE,0
"he_cty_ar",270,TRUE,0
"he_cty_ar_1990",75,TRUE,0
"he_cty_ar_1992",75,TRUE,0
"he_cty_ar_1994",75,TRUE,0
"he_cty_ar_1996",75,TRUE,0
"he_cty_ar_1998",50,TRUE,0
"he_cty_ar_2000",59,TRUE,0
"he_cty_ar_2002",74,TRUE,0
"he_cty_ar_2006",75,TRUE,0
"he_cty_az",120,TRUE,0
"he_cty_az_1990",15,TRUE,0
"he_cty_az_1992",15,TRUE,0
"he_cty_az_1994",15,TRUE,0
"he_cty_az_1996",15,TRUE,0
"he_cty_az_1998",15,TRUE,0
"he_cty_ca",406,TRUE,0
"he_cty_ca_1990",58,TRUE,0
"he_cty_ca_1992",58,TRUE,0
"he_cty_ca_1994",58,TRUE,0
"he_cty_ca_1996",58,TRUE,0
"he_cty_ca_historical",116,TRUE,0
"he_cty_co",448,TRUE,0
"he_cty_co_1990",63,TRUE,0
"he_cty_co_1992",63,TRUE,0
"he_cty_co_1994",63,TRUE,0
"he_cty_co_1996",63,TRUE,0
"he_cty_co_1998",63,TRUE,0
"he_cty_co_2000",63,TRUE,0
"he_cty_ctelh_1990",8,TRUE,0
"he_cty_ctelh_1992",8,TRUE,0
"he_cty_ctelh_1994",8,TRUE,0
"he_cty_ctelh_1996",8,TRUE,0
"he_cty_ctelh_1998",5,TRUE,0
"he_cty_ctelh_2000",8,TRUE,0
"he_cty_ctelh_2002",8,TRUE,0
"he_cty_ctelh_2004",8,TRUE,0
"he_cty_ctelh_2006",8,TRUE,0
"he_cty_ctelh_2008",8,TRUE,0
"he_cty_ctelh_2010",8,TRUE,0
"he_cty_ctelh_2012",8,TRUE,0
"he_cty_ctelh_2014",8,TRUE,0
"he_cty_de",21,TRUE,0
"he_cty_dede_1990",3,TRUE,0
"he_cty_dede_1992",3,TRUE,0
"he_cty_dede_1994",3,TRUE,0
"he_cty_dede_1996",3,TRUE,0
"he_cty_dede_2012",3,TRUE,0
"he_cty_fl",796,TRUE,0
"he_cty_ga",1113,TRUE,0
"he_cty_ga_2012",159,TRUE,0
"he_cty_ga_archive_1990",159,TRUE,0
"he_cty_ga_archive_1992",159,TRUE,0
"he_cty_ga_archive_1994",159,TRUE,0
"he_cty_ga_archive_1996",159,TRUE,0
"he_cty_ga_archive_1998",159,TRUE,0
"he_cty_ia",782,TRUE,0
"he_cty_ia_1990",99,TRUE,0
"he_cty_ia_1992",99,TRUE,0
"he_cty_ia_1994",99,TRUE,0
"he_cty_ia_1996",99,TRUE,0
"he_cty_ia_1998",99,TRUE,0
"he_cty_ia_2008_supp",10,TRUE,0
"he_cty_id",308,TRUE,0
"he_cty_idcv_1990",44,TRUE,0
"he_cty_idcv_1992",44,TRUE,0
"he_cty_idcv_1994",44,TRUE,0
"he_cty_idcv_1996",44,TRUE,0
"he_cty_idcv_1998",44,TRUE,0
"he_cty_idcv_2000",44,TRUE,0
"he_cty_idcv_2016",44,TRUE,0
"he_cty_idcv_2022",44,TRUE,0
"he_cty_il_1990",102,TRUE,0
"he_cty_il_1992",102,TRUE,0
"he_cty_il_1994",102,TRUE,0
"he_cty_il_1996",102,TRUE,0
"he_cty_il_sbe_1998",102,TRUE,0
"he_cty_il_sbe_2000",102,TRUE,0
"he_cty_il_sbe_2002",102,TRUE,0
"he_cty_il_sbe_2004",102,TRUE,0
"he_cty_il_sbe_2006",102,TRUE,0
"he_cty_il_sbe_2008",102,TRUE,0
"he_cty_il_sbe_2010",102,TRUE,0
"he_cty_il_sbe_2012",102,TRUE,0
"he_cty_il_sbe_2014",102,TRUE,0
"he_cty_il_sbe_2016",102,TRUE,0
"he_cty_il_sbe_2018",102,TRUE,0
"he_cty_il_sbe_2020",102,TRUE,0
"he_cty_il_sbe_2022",102,TRUE,0
"he_cty_il_sbe_2024",102,TRUE,0
"he_cty_in",184,TRUE,0
"he_cty_in_1990",92,TRUE,0
"he_cty_in_1992",92,TRUE,0
"he_cty_in_1994",92,TRUE,0
"he_cty_in_1996",92,TRUE,0
"he_cty_in_1998",92,TRUE,0
"he_cty_in_2000",92,TRUE,0
"he_cty_in_2002",92,TRUE,0
"he_cty_in_2004",92,TRUE,0
"he_cty_in_2006",92,TRUE,0
"he_cty_in_2008",92,TRUE,0
"he_cty_in_2010",92,TRUE,0
"he_cty_in_enr_2016",92,TRUE,0
"he_cty_in_enr_2018",92,TRUE,0
"he_cty_in_enr_2020",92,TRUE,0
"he_cty_in_enr_2022",92,TRUE,0
"he_cty_in_enr_2024",92,TRUE,0
"he_cty_ks",210,TRUE,0
"he_cty_ks_1990",105,TRUE,0
"he_cty_ks_1992",105,TRUE,0
"he_cty_ks_1994",105,TRUE,0
"he_cty_ks_1996",105,TRUE,0
"he_cty_ks_1998",105,TRUE,0
"he_cty_ks_2000",105,TRUE,0
"he_cty_ks_2002",105,TRUE,0
"he_cty_ks_2004",105,TRUE,0
"he_cty_ks_2006",105,TRUE,0
"he_cty_ks_2008",105,TRUE,0
"he_cty_ks_2010",105,TRUE,0
"he_cty_ky",1528,TRUE,0
"he_cty_ky_2010",120,TRUE,0
"he_cty_la_sos",714,TRUE,0
"he_cty_la_sos_2024",64,TRUE,0
"he_cty_maelst_1990",14,TRUE,0
"he_cty_maelst_1992",14,TRUE,0
"he_cty_maelst_1994",14,TRUE,0
"he_cty_maelst_1996",13,TRUE,0
"he_cty_maelst_1998",14,TRUE,0
"he_cty_maelst_2000",14,TRUE,0
"he_cty_maelst_2002",14,TRUE,0
"he_cty_maelst_2004",14,TRUE,0
"he_cty_maelst_2006",14,TRUE,0
"he_cty_maelst_2008",14,TRUE,0
"he_cty_maelst_2010",14,TRUE,0
"he_cty_maelst_2012",14,TRUE,0
"he_cty_maelst_2014",14,TRUE,0
"he_cty_md_csv",168,TRUE,0
"he_cty_md_html",144,TRUE,0
"he_cty_me",16,TRUE,0
"he_cty_me_2018",16,TRUE,0
"he_cty_me_historical",192,TRUE,0
"he_cty_medsl",12751,TRUE,0
"he_cty_medsl_cand_2024",3,TRUE,0
"he_cty_mi",747,TRUE,0
"he_cty_mn",174,TRUE,0
"he_cty_mn_1990",87,TRUE,0
"he_cty_mn_1992",87,TRUE,0
"he_cty_mn_1994",87,TRUE,0
"he_cty_mn_1996",87,TRUE,0
"he_cty_mn_1998",87,TRUE,0
"he_cty_mn_2000",87,TRUE,0
"he_cty_mn_2002",87,TRUE,0
"he_cty_mn_2004",87,TRUE,0
"he_cty_mn_2006",87,TRUE,0
"he_cty_mn_2008",87,TRUE,0
"he_cty_mn_2010",87,TRUE,0
"he_cty_mo",917,TRUE,0
"he_cty_mobb_1990",115,TRUE,0
"he_cty_mobb_1992",115,TRUE,0
"he_cty_mobb_1994",115,TRUE,0
"he_cty_mobb_1996",115,TRUE,0
"he_cty_mobb_1998",115,TRUE,0
"he_cty_ms",410,TRUE,0
"he_cty_ms_1990",81,TRUE,0
"he_cty_ms_1992",82,TRUE,0
"he_cty_ms_1998",82,TRUE,0
"he_cty_ms_2000",82,TRUE,0
"he_cty_ms_2002",82,TRUE,0
"he_cty_ms_2004",82,TRUE,0
"he_cty_mt",448,TRUE,0
"he_cty_mtsos_1990",56,TRUE,0
"he_cty_mtsos_1992",56,TRUE,0
"he_cty_mtsos_1994",56,TRUE,0
"he_cty_mtsos_1996",56,TRUE,0
"he_cty_mtsos_1998",56,TRUE,0
"he_cty_nc",900,TRUE,0
"he_cty_ncdcr_1992",100,TRUE,0
"he_cty_ncdcr_1994",100,TRUE,0
"he_cty_ncsbe_1996",100,TRUE,0
"he_cty_ncsbe_1998",100,TRUE,0
"he_cty_nd",424,TRUE,0
"he_cty_ndsos_1990",53,TRUE,0
"he_cty_ndsos_1992",53,TRUE,0
"he_cty_ndsos_1994",53,TRUE,0
"he_cty_ndsos_1996",53,TRUE,0
"he_cty_ndsos_1998",53,TRUE,0
"he_cty_ne",372,TRUE,0
"he_cty_ne_1990",93,TRUE,0
"he_cty_ne_1992",93,TRUE,0
"he_cty_ne_1994",93,TRUE,0
"he_cty_ne_1996",93,TRUE,0
"he_cty_ne_1998",93,TRUE,0
"he_cty_ne_2000",93,TRUE,0
"he_cty_ne_2002",93,TRUE,0
"he_cty_ne_2004",93,TRUE,0
"he_cty_ne_2006",93,TRUE,0
"he_cty_nh",20,TRUE,0
"he_cty_nh_historical",40,TRUE,0
"he_cty_nj",42,TRUE,0
"he_cty_nj_2022",21,TRUE,0
"he_cty_nj_historical",126,TRUE,0
"he_cty_nm",165,TRUE,0
"he_cty_nm_1990",33,TRUE,0
"he_cty_nm_1992",33,TRUE,0
"he_cty_nm_1994",31,TRUE,0
"he_cty_nm_1996",32,TRUE,0
"he_cty_nm_1998",33,TRUE,0
"he_cty_nm_2002",33,TRUE,0
"he_cty_nm_2004",33,TRUE,0
"he_cty_nm_2006",33,TRUE,0
"he_cty_nv",136,TRUE,0
"he_cty_nvsos_1990",17,TRUE,0
"he_cty_nvsos_1992",17,TRUE,0
"he_cty_nvsos_1994",17,TRUE,0
"he_cty_nvsos_1996",17,TRUE,0
"he_cty_nvsos_1998",17,TRUE,0
"he_cty_nyboe_1996",61,TRUE,0
"he_cty_nyboe_1998",62,TRUE,0
"he_cty_nyboe_2000",62,TRUE,0
"he_cty_nyboe_2002",62,TRUE,0
"he_cty_nyboe_2004",62,TRUE,0
"he_cty_nyboe_2006",62,TRUE,0
"he_cty_nyboe_2008",62,TRUE,0
"he_cty_nyboe_2010",62,TRUE,0
"he_cty_nyboe_2012",62,TRUE,0
"he_cty_nyboe_2014",62,TRUE,0
"he_cty_nyboe_2016",62,TRUE,0
"he_cty_nyboe_2018",62,TRUE,0
"he_cty_oh",440,TRUE,0
"he_cty_ohsosarc_1996",88,TRUE,0
"he_cty_ohsosarc_2002",88,TRUE,0
"he_cty_ok",368,TRUE,0
"he_cty_ok_pdfs",308,TRUE,0
"he_cty_okarc_1998",77,TRUE,0
"he_cty_or",144,TRUE,0
"he_cty_orsl_1990",36,TRUE,0
