year,state_po,district,county_fips,candidate,party,whole_county,state_rule,source,county_method
1990,FL,08,12103,C. W. Bill Young,REP,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,10,12027,Andy Ireland,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,10,12049,Andy Ireland,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,10,12081,Andy Ireland,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,10,12097,Andy Ireland,REP,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,10,12105,Andy Ireland,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,12,12021,Tom Lewis,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,12,12043,Tom Lewis,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,12,12051,Tom Lewis,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,12,12055,Tom Lewis,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,12,12061,Tom Lewis,REP,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,12,12085,Tom Lewis,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,12,12093,Tom Lewis,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,12,12099,Tom Lewis,REP,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,12,12111,Tom Lewis,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,13,12015,Porter J. Goss,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,13,12021,Porter J. Goss,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,13,12071,Porter J. Goss,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,13,12115,Porter J. Goss,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,16,12011,Larry Smith,DEM,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,FL,16,12086,Larry Smith,DEM,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,FEC Federal Elections 1990 (Unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,LA,06,22033,Richard H. Baker,REP,FALSE,Under Louisiana law (R.S. 18:511) an unopposed candidate is declared elected and does not appear on the ballot.,FEC Federal Elections 1990 (Louisiana note: declared elected unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,LA,06,22063,Richard H. Baker,REP,TRUE,Under Louisiana law (R.S. 18:511) an unopposed candidate is declared elected and does not appear on the ballot.,FEC Federal Elections 1990 (Louisiana note: declared elected unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,LA,06,22105,Richard H. Baker,REP,TRUE,Under Louisiana law (R.S. 18:511) an unopposed candidate is declared elected and does not appear on the ballot.,FEC Federal Elections 1990 (Louisiana note: declared elected unopposed),boundary_overlay:UCLA districts102 (1990 election)
1990,LA,06,22117,Richard H. Baker,REP,TRUE,Under Louisiana law (R.S. 18:511) an unopposed candidate is declared elected and does not appear on the ballot.,FEC Federal Elections 1990 (Louisiana note: declared elected unopposed),boundary_overlay:UCLA districts102 (1990 election)
1992,FL,21,12086,Lincoln Diaz-Balart,REP,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1992,same_map_year:1994
1994,FL,04,12031,Tillie K. Fowler,REP,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,04,12035,Tillie K. Fowler,REP,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,04,12089,Tillie K. Fowler,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,04,12109,Tillie K. Fowler,REP,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,04,12127,Tillie K. Fowler,REP,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,10,12103,C. W. Bill Young,REP,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,13,12015,Dan Miller,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,13,12057,Dan Miller,REP,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,13,12081,Dan Miller,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,13,12115,Dan Miller,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,14,12015,Porter J. Goss,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,14,12021,Porter J. Goss,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,14,12071,Porter J. Goss,REP,TRUE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
1994,FL,18,12086,Ileana Ros-Lehtinen,REP,FALSE,Florida law does not print the names of candidates with no opposition on the ballot.,House Clerk Statistics of the Congressional Election 1994,same_map_year:1992
