"state","year","cty_fips","sample","demovote","repuvote","totalvote","o_dem","o_rep","o_tot","status","rel"
"INDIANA",2008,18001,"HE",0.239860774818402,0.740617433414044,13216,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18003,"HE",0.426153583034035,0.522414913630922,146175,0.428948360346777,0.518387869908754,140609,"differs",1.0395849483319
"INDIANA",2008,18005,"HE",0.361862454754854,0.612043435340573,30390,0.243877666177632,0.739137794831283,17722,"differs",1.71481774066132
"INDIANA",2008,18007,"HE",0.49033487612306,0.463653689082494,3673,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18009,"HE",0.357924528301887,0.618867924528302,5300,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18015,"HE",0.531063531063531,0.427986427986428,8547,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18017,"HE",0.574177247991708,0.394208344130604,15436,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18029,"HE",0.383529082774049,0.582354586129754,21456,0.226373908577298,0.741397021058038,7788,"differs",2.75500770416025
"INDIANA",2008,18037,"HE",0.544390459363958,0.420936395759717,18112,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18039,"HE",0.474293753197294,0.490351276075712,70372,0.632675585284281,0.341304347826087,29900,"differs",2.35357859531773
"INDIANA",2008,18045,"HE",0.477796052631579,0.522203947368421,7296,0.387479541734861,0.612520458265139,2444,"differs",2.98527004909984
"INDIANA",2008,18059,"HE",0.331206374883916,0.668793625116084,33381,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18067,"HE",0.437565942181895,0.549694028276008,37912,0.339013705236928,0.660986294763072,24881,"differs",1.52373296893212
"INDIANA",2008,18069,"HE",0.291980589962968,0.708019410037032,15662,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18073,"HE",0.516549891278086,0.460900378513328,12417,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18075,"HE",0.323895112643112,0.65148344207805,8123,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18077,"HE",0.591165201712869,0.366538952745849,13311,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18079,"HE",0.596129360835243,0.358119005177829,11781,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18081,"HE",0.307221107579766,0.690364162568136,56321,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18093,"HE",0.413598373616445,0.586401626383555,17708,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18095,"HE",0.381329198524301,0.59603628651375,56109,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18097,"HE",0.580921017113858,0.419068185499109,370460,0.589020699152238,0.410979300847762,348565,"differs",1.06281468305768
"INDIANA",2008,18103,"HE",0.366503206337231,0.633496793662769,13255,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18105,"HE",0.631412372006431,0.336193619361936,59085,0.678721095960348,0.280563296390053,47009,"differs",1.25688697908911
"INDIANA",2008,18111,"HE",0.542492442055761,0.424756466241182,5954,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18115,"HE",0.493069993069993,0.471933471933472,2886,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18123,"HE",0.668019577414349,0.307986152560583,8377,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18127,"HE",0.665991846695693,0.306067833273247,72118,0.674803705205002,0.299358945487847,66609,"differs",1.0827065411581
"INDIANA",2008,18133,"HE",0.516708229426434,0.483291770573566,14035,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18137,"HE",0.454003477684855,0.503684689906434,12077,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18145,"HE",0.326648737137512,0.670661833489242,17104,0.220814479638009,0.758371040723982,2210,"differs",7.7393665158371
"INDIANA",2008,18147,"HE",0.570475811268166,0.406032251642445,10046,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18155,"HE",0.573230938014262,0.37986834887548,3646,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18169,"HE",0.329505164174503,0.670494835825497,12974,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18171,"HE",0.52241112828439,0.47758887171561,3882,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18179,"HE",0.226577139287945,0.753669581511555,12808,NA,NA,NA,"missing in old rows",NA
"INDIANA",2008,18181,"HE",0.463117800074322,0.526291341508733,10764,0.448509786476868,0.551490213523132,8992,"differs",1.1970640569395
