cty_fips,totalvote,o_tot,status
18001,9483,NA,missing in old data
18003,91231,87493,old differs
18005,19839,11657,old differs
18007,2218,NA,missing in old data
18009,3887,NA,missing in old data
18011,18712,18712,identical
18013,6274,6274,identical
18015,5987,NA,missing in old data
18017,10932,NA,missing in old data
18019,33053,33053,identical
18021,8146,8146,identical
18023,7397,7397,identical
18025,3907,3907,identical
18027,7007,7007,identical
18029,15206,5182,old differs
18031,7673,7673,identical
18033,11548,11548,identical
18035,30721,30721,identical
18037,14008,NA,missing in old data
18039,46311,19012,old differs
18041,6270,6270,identical
18043,25931,25931,identical
18045,5253,1795,old differs
18047,7354,7354,identical
18049,6135,6135,identical
18051,11289,11289,identical
18053,15984,15984,identical
18055,9705,9705,identical
18057,80253,80253,identical
18059,22587,NA,missing in old data
18061,14860,14860,identical
18063,38823,38823,identical
18065,13356,13356,identical
18067,25729,17385,old differs
18069,11150,NA,missing in old data
18071,13670,13670,identical
18073,8227,NA,missing in old data
18075,5755,NA,missing in old data
18077,10136,NA,missing in old data
18079,8507,NA,missing in old data
18081,38138,NA,missing in old data
18083,11156,11156,identical
18085,19954,19954,identical
18087,6573,6573,identical
18089,114284,114284,identical
18091,28987,28987,identical
18093,10926,NA,missing in old data
18095,39040,NA,missing in old data
18097,213769,200339,old differs
18099,13307,13307,identical
18101,4029,4029,identical
18103,8718,NA,missing in old data
18105,35840,27601,old differs
18107,10569,10569,identical
18109,18018,18018,identical
18111,4284,NA,missing in old data
18113,11316,11316,identical
18115,2250,NA,missing in old data
18117,5963,5963,identical
18119,6037,6037,identical
18121,5358,5358,identical
18123,6696,NA,missing in old data
18125,4685,4685,identical
18127,44480,40694,old differs
18129,9915,9915,identical
18131,4583,4583,identical
18133,9992,NA,missing in old data
18135,6978,6978,identical
18137,8418,NA,missing in old data
18139,4979,4979,identical
18141,80064,80064,identical
18143,7090,7090,identical
18145,10644,1443,old differs
18147,7454,NA,missing in old data
18149,7083,7083,identical
18151,10161,10161,identical
18153,6843,6343,old differs
18155,3026,NA,missing in old data
18157,35590,35590,identical
18159,5843,5843,identical
18161,2433,2433,identical
18163,49998,49998,identical
18165,4851,4851,identical
18167,28300,28300,identical
18169,8908,NA,missing in old data
18171,2530,NA,missing in old data
18173,20465,20465,identical
18175,8482,8482,identical
18177,16542,16542,identical
18179,9486,NA,missing in old data
18181,7466,6095,old differs
18183,10705,10705,identical
