"year","district","county","candidate","ocr_value","corrected_value","how_verified"
1996,6,"Boone","Dan Burton",NA,4715,"row garbled in OCR; read from image crop"
1996,6,"Boone","Carrie Jean Dillard-Trammell",NA,1196,"row garbled in OCR; read from image crop"
1996,6,"Boone","Fred Peterson",NA,85,"row garbled in OCR; read from image crop"
1996,6,"Boone","Bobby S. Hidalgo Kern",NA,0,"row garbled in OCR; read from image crop"
1996,6,"Tipton","Dan Burton",NA,5243,"row lost by the parser (stray 'i)' after the numbers); read from image"
1996,6,"Tipton","Carrie Jean Dillard-Trammell",NA,1766,"row lost by the parser; read from image"
1996,6,"Tipton","Fred Peterson",NA,139,"row lost by the parser; read from image"
1996,6,"Tipton","Bobby S. Hidalgo Kern",NA,0,"row lost by the parser; read from image"
1996,7,"Morgan","Edward A. Pease",NA,11536,"'S17' in OCR = 517; row lost by the parser; district total confirms 517"
1996,7,"Morgan","Robert F. Hellmann",NA,4138,"row lost by the parser"
1996,7,"Morgan","Barbara Bourland",NA,517,"OCR 'S17' -> 517 (district total 7125 confirms)"
1996,10,"Marion","Julia M. Carson",NA,85965,"district 10 (one county) not parsed; read from image"
1996,10,"Marion","Virginia Blankenbaker",NA,72796,"read from image"
1996,10,"Marion","Kurt St. Angelo",NA,3605,"read from image"
1996,10,"Marion","Michael F. Glatz",NA,7,"read from image"
