"sample","st","year","rows","mean_abs_rep_change","mean_abs_dem_change","median_total_ratio","min_total_ratio"
"HE",18,2018,3,0.343,0.1616,0.495,0.492
"SE",18,2018,3,0.3102,0.1682,0.497,0.494
"SE",50,2024,14,0.1837,0,0.487,0.484
"HE",50,2024,14,0.1763,0.3045,0.471,0.462
"HE",26,2022,7,0.1261,0.1008,0.955,0.492
"HE",17,2024,101,0.077,0.0096,0.938,0.784
"HE",1,2024,66,0.0745,0.0042,0.98,0.685
"SE",31,2024,93,0.0604,0.0604,0.501,0.496
"HE",49,2022,13,0.0535,0.0125,0.974,0.5
"HE",26,2018,1,0.0514,0.0361,0.764,0.764
"HE",4,2024,11,0.0494,0.026,0.966,0.5
"SE",49,2022,13,0.0456,0,0.991,0.5
"HE",1,2020,67,0.0425,0.0481,0.981,0.558
"HE",12,2020,66,0.0414,0.0085,0.973,0.821
"SE",4,2024,11,0.041,0.0222,0.978,0.5
"HE",24,2020,3,0.0367,0.0366,0.448,0.445
"HE",16,2024,44,0.0335,0.0091,0.957,0.898
"HE",49,2024,28,0.033,0.0108,0.955,0.932
"SE",27,2018,87,0.0324,0.0394,0.501,0.5
"HE",36,2020,39,0.0277,0.0231,0.972,0.917
"HE",48,2024,1,0.0268,0.0267,0.854,0.854
"HE",56,2024,23,0.0256,0.0068,0.965,0.953
"HE",41,2022,33,0.0242,0.0122,0.965,0.942
"SE",36,2018,31,0.0241,0.0208,0.976,0.478
"HE",1,2022,64,0.0237,0.0041,0.991,0.699
"HE",36,2018,29,0.0226,0.0315,0.985,0.482
"SE",56,2024,23,0.0219,0.0052,0.972,0.959
"HE",41,2020,35,0.021,0.0131,0.965,0.949
"HE",56,2020,23,0.0208,0.0057,0.971,0.96
"SE",49,2024,28,0.0206,0.0066,0.971,0.95
"HE",36,2024,39,0.0204,0.0163,0.961,0.917
"HE",12,2024,67,0.02,0.01,0.97,0.953
"SE",36,2024,39,0.0196,0.0185,0.962,0.898
"SE",56,2020,23,0.0191,0.0052,0.976,0.964
"HE",18,2024,10,0.0177,0.0068,0.976,0.962
"HE",19,2020,1,0.0174,0.0197,0.963,0.963
"HE",17,2022,95,0.0169,0.0059,0.981,0.862
"SE",18,2024,10,0.0164,0.0065,0.981,0.963
"SE",41,2020,35,0.0164,0.0121,0.97,0.957
"HE",33,2024,10,0.0158,0.0178,0.968,0.951
"HE",56,2022,23,0.0158,0,0.978,0.97
"HE",2,2024,30,0.0155,0.0139,0.974,0.949
"HE",56,2018,23,0.015,0.005,0.979,0.97
"HE",34,2018,1,0.0147,0.0113,0.973,0.973
"HE",12,2022,67,0.0145,0.0036,0.988,0.888
"SE",41,2022,33,0.0135,0.0088,0.979,0.958
"HE",25,2022,14,0.013,0.0387,0.972,0.776
"HE",25,2020,14,0.0127,0.0747,0.92,0.761
"SE",34,2018,1,0.0126,0.0075,0.979,0.979
"HE",50,2020,14,0.0124,0.0262,0.96,0.938
"SE",12,2024,67,0.0123,0.0063,0.981,0.971
"SE",17,2022,79,0.0121,0.0044,0.984,0.904
"HE",36,2022,40,0.0118,0.0079,0.978,0.954
"HE",4,2018,15,0.0114,0.0091,0.98,0.969
"HE",12,2018,67,0.0113,0.0074,0.983,0.928
"HE",17,2020,60,0.0112,0.0054,0.983,0.935
"SE",28,2018,82,0.011,0.0166,0.497,0.481
"HE",50,2022,14,0.0109,0.0199,0.966,0.957
"HE",41,2018,5,0.0106,0.0122,0.978,0.966
"HE",23,2022,16,0.0105,0.0122,0.977,0.968
"SE",25,2024,14,0.0102,0.0166,0.974,0.964
"HE",1,2018,65,0.0101,0.0472,0.988,0.52
"HE",25,2018,14,0.0097,0.0849,0.919,0.786
"SE",40,2022,77,0.0097,0.0129,0.5,0.498
"HE",25,2024,14,0.0095,0.0875,0.933,0.756
"SE",36,2022,39,0.0093,0.0072,0.984,0.942
"HE",23,2020,17,0.0091,0.0123,0.98,0.969
"SE",11,2024,1,0.0086,0.0845,0.906,0.906
"SE",17,2020,67,0.0083,0.0049,0.984,0.949
"SE",25,2020,14,0.0083,0.0171,0.976,0.962
"HE",17,2018,84,0.0081,0.0048,0.988,0.936
"SE",56,2018,23,0.0079,0.0023,0.99,0.979
"HE",4,2022,5,0.0077,0.0078,0.984,0.981
"HE",53,2018,1,0.0075,0.0319,0.96,0.96
"SE",23,2018,16,0.007,0.0017,0.982,0.973
"SE",23,2020,17,0.0063,0.0049,0.989,0.979
"SE",1,2022,64,0.0057,0.0033,0.993,0.942
"SE",4,2018,15,0.0057,0.0048,0.988,0.983
"SE",25,2018,14,0.0054,0.0098,0.984,0.98
"SE",50,2022,14,0.0054,0.0109,0.983,0.977
"HE",11,2024,1,0.0051,0.0587,0.931,0.931
"SE",12,2018,67,0.0051,0.0035,0.992,0.957
"SE",1,2020,67,0.0045,0.0026,0.993,0.985
"SE",4,2022,5,0.0035,0.0039,0.992,0.991
"HE",23,2024,16,0.0034,0.0038,0.985,0.983
"SE",12,2022,67,0.0033,0.0014,0.996,0.991
"HE",55,2024,11,0.0029,0.003,0.498,0.486
"SE",53,2018,1,0.0028,0.0079,0.989,0.989
"HE",21,2016,35,0.0026,0.0026,0.507,0.504
"SE",23,2024,16,0.0026,6e-04,0.988,0.976
"SE",13,2020,159,0.0023,0.0026,0.502,0.5
"HE",11,2022,1,0.0022,0.0603,0.929,0.929
"HE",18,2022,3,0.0021,0.0032,0.501,0.5
"HE",20,2018,1,0.0018,0.002,0.996,0.996
"HE",11,2018,1,0.0015,0.0611,0.933,0.933
"SE",6,2024,58,0.0012,0.0012,0.505,0.5
"HE",50,2018,14,3e-04,6e-04,0.999,0.999
"SE",50,2018,14,2e-04,0,0.999,0.999
"SE",11,2018,1,0,0.0574,0.931,0.931
