"sample","st","year","rows","mean_abs_rep_change","mean_abs_dem_change","median_total_ratio","min_total_ratio"
"HE",5,2016,40,0.3215,0.0168,0.576,0.319
"SE",5,2016,40,0.2609,0.1454,0.583,0.342
"HE",49,2018,1,0.1836,0.0666,0.742,0.742
"HE",21,2016,2,0.1709,0.1165,0.689,0.659
"HE",1,2016,67,0.0609,0.0586,0.633,0.486
"SE",45,2016,46,0.0535,0.0448,0.645,0.566
"HE",45,2016,46,0.0413,0.0337,0.651,0.57
"SE",1,2016,67,0.034,0.0343,0.654,0.548
"HE",11,2022,1,0.0306,0.0153,0.473,0.473
"SE",18,2016,25,0.0283,0.0205,0.731,0.634
"HE",11,2018,1,0.0224,0.0524,0.471,0.471
"HE",18,2016,24,0.0198,0.0131,0.727,0.634
"SE",21,2016,2,0.0065,0.0033,0.714,0.706
