"sample","st","year","rows","mean_abs_rep_change","mean_abs_dem_change","median_total_ratio","min_total_ratio"
"HE",23,2024,16,0.2378,0.2618,0.493,0.492
"HE",49,2022,2,0.195,0.0555,0.74,0.495
"SE",23,2024,16,0.1912,0.0464,0.494,0.488
"SE",49,2022,2,0.1817,0,0.74,0.496
"SE",36,2018,25,0.0573,0.0958,0.956,0.479
"HE",36,2016,6,0.0219,0.0514,0.921,0.901
"HE",36,2024,2,0.0213,0.0263,0.95,0.939
"HE",17,2020,35,0.0212,0.0091,0.972,0.932
"SE",36,2024,2,0.0177,0.0209,0.958,0.955
"HE",36,2020,5,0.0156,0.0309,0.948,0.859
"HE",17,2024,4,0.0153,0.0065,0.977,0.966
"HE",17,2022,14,0.015,0.0064,0.979,0.963
"SE",17,2020,35,0.0135,0.0069,0.979,0.961
"SE",17,2022,14,0.0132,0.0068,0.981,0.955
"SE",36,2016,6,0.0129,0.0522,0.932,0.91
"HE",17,2018,52,0.0121,0.0056,0.984,0.958
"HE",36,2018,18,0.0099,0.0087,0.976,0.955
"HE",36,2022,10,0.0093,0.0136,0.962,0.936
"HE",4,2022,1,0.0071,0.005,0.987,0.987
"SE",36,2022,10,0.0062,0.0105,0.974,0.937
"SE",49,2024,1,0.0056,0.001,0.993,0.993
"HE",49,2020,3,0.0019,4e-04,0.998,0.997
"HE",18,2024,2,5e-04,1e-04,0.999,0.999
"SE",18,2024,2,5e-04,1e-04,0.999,0.999
"SE",4,2022,1,4e-04,5e-04,0.999,0.999
"HE",50,2024,13,3e-04,5e-04,0.999,0.998
"SE",50,2024,13,3e-04,0,0.999,0.998
"HE",50,2020,2,0,0,1,1
"HE",50,2022,2,0,0,1,1
"SE",50,2022,1,0,0,1,1
