"test","sample","year","cty_fips","st","totalvote","detail"
"T1_ratio_to_presidential","HE",2016,33017,33,29894,"ratio 0.43 vs state median 0.73 (rel 0.59)"
"T1_ratio_to_presidential","HE",2016,49055,49,2086,"ratio 1.47 vs state median 0.99 (rel 1.49)"
"T1_ratio_to_presidential","HE",2018,1107,1,4192,"ratio 0.44 vs state median 0.78 (rel 0.56)"
"T1_ratio_to_presidential","HE",2018,12057,12,234180,"ratio 0.39 vs state median 0.86 (rel 0.45)"
"T1_ratio_to_presidential","HE",2018,12095,12,197528,"ratio 0.36 vs state median 0.86 (rel 0.42)"
"T1_ratio_to_presidential","HE",2018,12099,12,262567,"ratio 0.40 vs state median 0.86 (rel 0.46)"
"T1_ratio_to_presidential","HE",2018,36027,36,49162,"ratio 0.38 vs state median 0.80 (rel 0.47)"
"T1_ratio_to_presidential","HE",2018,36055,36,122869,"ratio 0.35 vs state median 0.80 (rel 0.44)"
"T1_ratio_to_presidential","HE",2018,36057,36,4770,"ratio 0.25 vs state median 0.80 (rel 0.31)"
"T1_ratio_to_presidential","HE",2018,36075,36,54254,"ratio 1.13 vs state median 0.80 (rel 1.40)"
"T1_ratio_to_presidential","HE",2018,36083,36,29251,"ratio 0.41 vs state median 0.80 (rel 0.51)"
"T1_ratio_to_presidential","HE",2018,38079,38,4915,"ratio 1.31 vs state median 0.94 (rel 1.39)"
"T1_ratio_to_presidential","HE",2020,1107,1,5409,"ratio 0.56 vs state median 0.98 (rel 0.57)"
"T1_ratio_to_presidential","HE",2020,12021,12,105899,"ratio 0.51 vs state median 0.98 (rel 0.52)"
"T1_ratio_to_presidential","HE",2020,24027,24,79222,"ratio 0.43 vs state median 0.98 (rel 0.44)"
"T1_ratio_to_presidential","HE",2020,24510,24,103842,"ratio 0.44 vs state median 0.98 (rel 0.45)"
"T1_ratio_to_presidential","HE",2020,47043,47,12751,"ratio 0.52 vs state median 0.94 (rel 0.56)"
"T1_ratio_to_presidential","HE",2022,12031,12,137346,"ratio 0.28 vs state median 0.73 (rel 0.38)"
"T1_ratio_to_presidential","HE",2022,12109,12,19279,"ratio 0.11 vs state median 0.73 (rel 0.15)"
"T1_ratio_to_presidential","HE",2022,26097,26,11876,"ratio 1.69 vs state median 0.82 (rel 2.07)"
"T1_ratio_to_presidential","HE",2022,26111,26,4293,"ratio 0.09 vs state median 0.82 (rel 0.11)"
"T1_ratio_to_presidential","HE",2022,36005,36,183855,"ratio 0.43 vs state median 0.74 (rel 0.58)"
"T1_ratio_to_presidential","HE",2022,36017,36,31981,"ratio 1.43 vs state median 0.74 (rel 1.94)"
"T1_ratio_to_presidential","HE",2022,36077,36,40588,"ratio 1.44 vs state median 0.74 (rel 1.95)"
"T1_ratio_to_presidential","HE",2022,48135,48,19146,"ratio 0.43 vs state median 0.72 (rel 0.60)"
"T1_ratio_to_presidential","HE",2024,28103,28,2113,"ratio 0.47 vs state median 0.99 (rel 0.48)"
"T1_ratio_to_presidential","HE",2024,34003,34,853419,"ratio 1.86 vs state median 0.95 (rel 1.95)"
"T1_ratio_to_presidential","HE",2024,40017,40,41100,"ratio 0.56 vs state median 0.99 (rel 0.57)"
"T1_ratio_to_presidential","HE",2024,40037,40,17383,"ratio 0.56 vs state median 0.99 (rel 0.56)"
"T1_ratio_to_presidential","SE",2016,33017,33,30754,"ratio 0.45 vs state median 0.75 (rel 0.59)"
"T1_ratio_to_presidential","SE",2016,36069,36,18115,"ratio 0.35 vs state median 0.96 (rel 0.36)"
"T1_ratio_to_presidential","SE",2016,49055,49,2118,"ratio 1.49 vs state median 0.99 (rel 1.51)"
"T1_ratio_to_presidential","SE",2018,38079,38,5045,"ratio 1.34 vs state median 0.95 (rel 1.41)"
"T1_ratio_to_presidential","SE",2022,36017,36,31994,"ratio 1.43 vs state median 0.75 (rel 1.91)"
"T1_ratio_to_presidential","SE",2022,36077,36,40650,"ratio 1.44 vs state median 0.75 (rel 1.92)"
"T1_ratio_to_presidential","SE",2024,34003,34,855665,"ratio 1.86 vs state median 0.95 (rel 1.96)"
"T2_house_vs_senate","HE/SE",2016,1099,1,6056,"House 6056 vs Senate 10122 (ratio 0.60)"
"T2_house_vs_senate","HE/SE",2016,36069,36,48595,"House 48595 vs Senate 18115 (ratio 2.68)"
"T2_house_vs_senate","HE/SE",2016,55001,55,5996,"House 5996 vs Senate 10032 (ratio 0.60)"
"T2_house_vs_senate","HE/SE",2018,12057,12,234180,"House 234180 vs Senate 522941 (ratio 0.45)"
"T2_house_vs_senate","HE/SE",2018,12095,12,197528,"House 197528 vs Senate 476113 (ratio 0.41)"
"T2_house_vs_senate","HE/SE",2018,12099,12,262567,"House 262567 vs Senate 590166 (ratio 0.44)"
"T2_house_vs_senate","HE/SE",2018,36027,36,49162,"House 49162 vs Senate 111007 (ratio 0.44)"
"T2_house_vs_senate","HE/SE",2018,36055,36,122869,"House 122869 vs Senate 280026 (ratio 0.44)"
"T2_house_vs_senate","HE/SE",2018,36057,36,4770,"House 4770 vs Senate 15161 (ratio 0.31)"
"T2_house_vs_senate","HE/SE",2018,36083,36,29251,"House 29251 vs Senate 60668 (ratio 0.48)"
"T2_house_vs_senate","HE/SE",2020,1023,1,4447,"House 4447 vs Senate 7416 (ratio 0.60)"
"T2_house_vs_senate","HE/SE",2020,1107,1,5409,"House 5409 vs Senate 9643 (ratio 0.56)"
"T2_house_vs_senate","HE/SE",2020,47043,47,12751,"House 12751 vs Senate 23621 (ratio 0.54)"
"T2_house_vs_senate","HE/SE",2022,12031,12,137346,"House 137346 vs Senate 329009 (ratio 0.42)"
"T2_house_vs_senate","HE/SE",2022,12109,12,19279,"House 19279 vs Senate 144406 (ratio 0.13)"
