year,state_po,district,off_dem,off_rep,off_sum,off_total,our_dem,our_rep,our_total,n_counties,rel_dem,rel_rep,rel_tot,s_dem,s_rep,s_tot
2004,AL,01,93938,161067,255005,255164,93938,161067,255164,6,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AL,02,70562,177086,247648,247947,70562,177086,247947,16,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AL,03,95240,150411,245651,245784,95240,150411,245784,13,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AL,04,64278,191110,255388,255724,64278,191110,255724,14,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AL,05,200999,74145,275144,275459,200999,74145,275459,7,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AL,06,0,264819,264819,268043,0,264819,268043,7,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AL,07,183408,61019,244427,244638,183408,61019,244638,12,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AR,01,162388,81556,243944,243944,NA,NA,NA,NA,NA,NA,NA,MISSING,MISSING,MISSING
2004,AR,02,160834,115655,276493,276493,NA,NA,NA,NA,NA,NA,NA,MISSING,MISSING,MISSING
2004,AR,03,103158,160629,270803,270803,NA,NA,NA,NA,NA,NA,NA,MISSING,MISSING,MISSING
2004,AS,00,6656,5472,12128,12128,NA,NA,NA,NA,NA,NA,NA,MISSING,MISSING,MISSING
2004,AZ,01,91776,148315,253351,253351,91776,148315,253351,8,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AZ,02,107406,165260,279303,279303,107406,165260,279303,6,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AZ,03,0,181012,225974,225974,0,181012,225974,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AZ,04,77150,28238,110027,110027,77150,28238,110027,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AZ,05,102363,159455,268007,268007,102363,159455,268007,1,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AZ,06,0,202882,255577,255577,0,202882,255577,2,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AZ,07,108868,59066,175437,175437,108868,59066,175437,6,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AZ,08,109963,183363,303769,303769,109963,183363,303769,4,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,01,189366,79970,282971,282971,189366,79970,282971,7,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,02,90310,182119,272429,272429,90310,182119,272429,10,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,03,100025,177738,287073,287073,100025,177738,287073,5,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,04,117443,221926,339369,339369,117443,221926,339369,9,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
