year,state_po,district,off_total,off_dem,off_rep,our_dem,our_rep,our_total,n_counties,rel_tot,rel_dem,rel_rep,status_tot
1990,AL,01,82530,0,82185,0,80819,80819,6,-0.02073185508300012,NA,-0.016621037902293606,BAD (>=2%)
1990,AL,02,170911,83243,87649,83243,87649,170892,13,-1.1116897098489857e-4,0,0,ok (<0.05%)
1990,AL,03,138242,101923,36317,101923,36317,138240,13,-1.4467383284385354e-5,0,0,ok (<0.05%)
1990,AL,04,130212,129872,0,129872,0,129872,14,-0.0026111264706785856,0,NA,small (<0.5%)
1990,AL,05,168383,113047,55326,113047,55326,168373,7,-5.938841807070785e-5,0,0,ok (<0.05%)
1990,AL,06,145741,134412,0,134412,0,144797,1,-0.006477243877838082,0,NA,check (0.5-2%)
1990,AL,07,180844,127490,53258,127490,53258,180748,14,-5.308442635641768e-4,0,0,small (<0.5%)
1990,AZ,01,167016,0,166223,0,166223,167016,1,0,NA,0,ok (<0.05%)
1990,AZ,02,116179,76549,39586,76549,39586,116179,5,0,0,0,ok (<0.05%)
1990,AZ,03,237297,0,237297,103018,134279,237297,6,0,NA,-0.4341310678179665,ok (<0.05%)
1990,AZ,04,231238,89395,141843,89395,141843,231238,5,0,0,0,ok (<0.05%)
1990,AZ,05,214617,75642,138975,75642,138975,214617,7,0,0,0,ok (<0.05%)
1990,AR,04,152495,110365,42130,110365,42130,152495,23,0,0,0,ok (<0.05%)
1990,CA,01,230261,96468,99782,96468,99782,230261,6,0,0,0,ok (<0.05%)
1990,CA,02,209401,65333,133315,65333,133315,209401,12,0,0,0,ok (<0.05%)
1990,CA,03,219088,132143,76148,132143,76148,219088,1,0,0,0,ok (<0.05%)
1990,CA,04,210454,115090,82738,115090,82738,210454,3,0,0,0,ok (<0.05%)
1990,CA,05,156304,120633,35671,120633,35671,156304,1,0,0,0,ok (<0.05%)
1990,CA,06,201708,137306,64402,137306,64402,201708,4,0,0,0,ok (<0.05%)
1990,CA,07,200111,121080,79031,121080,79031,200111,1,0,0,0,ok (<0.05%)
1990,CA,08,195189,119645,75544,119645,75544,195189,2,0,0,0,ok (<0.05%)
1990,CA,09,162151,94739,67412,94739,67412,162151,1,0,0,0,ok (<0.05%)
1990,CA,10,130637,81875,48747,81875,48747,130637,2,0,0,0,ok (<0.05%)
1990,CA,11,159365,105029,45818,105029,45818,159365,1,0,0,0,ok (<0.05%)
1990,CA,12,205698,69270,125157,69270,125157,205698,3,0,0,0,ok (<0.05%)
