year,state_po,our_dem,our_rep,our_total,n_counties,off_dem,off_rep,off_total,rel_dem,rel_rep,rel_tot,s_dem,s_rep,s_tot
2004,NV,691618,63005,791433,17,333912,420711,791433,1.0712582955988403,-0.8502416147902004,0,BAD (>=2%),BAD (>=2%),ok (<0.05%)
2004,WA,1608751,1095493,2729995,39,1608751,1095493,2729995,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,NV,287879,260317,574827,17,287879,260317,574827,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2006,WA,1244095,798005,2054056,39,1244095,798005,2054056,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2008,NV,774077,64688,905941,17,457320,383548,908254,0.6926375404530745,-0.8313431434918185,-0.002546644440872267,BAD (>=2%),BAD (>=2%),small (<0.5%)
2010,IA,115839,104319,226977,15,479874,597414,1106591,-0.7586053839132773,-0.825382398135966,-0.794886276862906,BAD (>=2%),BAD (>=2%),BAD (>=2%)
2010,NV,487293,187911,702788,17,317835,357369,702788,0.53316343385719,-0.47418214786397256,0,BAD (>=2%),BAD (>=2%),ok (<0.05%)
2010,WA,1273267,1145984,2466992,37,1296502,1135166,2479409,-0.017921299003009636,0.009529883735066061,-0.005008048288926917,check (0.5-2%),check (0.5-2%),check (0.5-2%)
2012,IA,1141809,993475,2187155,62,772387,726505,1536849,0.4782861441220528,0.36747166227348743,0.42314241672408937,BAD (>=2%),BAD (>=2%),BAD (>=2%)
2012,WA,1929,2678,4612,2,1636726,1369540,3006266,-0.9988214276549648,-0.9980445989164245,-0.9984658709508739,BAD (>=2%),BAD (>=2%),BAD (>=2%)
2014,CO,936417,1000200,2000525,64,936417,1000197,2000525,0,2.9994091164040682e-6,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2016,AZ,0,0,1361,1,1034687,1264378,2412064,-1,-1,-0.9994357529485122,BAD (>=2%),BAD (>=2%),BAD (>=2%)
2016,DE,0,0,23,3,233554,172301,420640,-1,-1,-0.9999453214149867,BAD (>=2%),BAD (>=2%),BAD (>=2%)
2022,AZ,1939,1124,3065,1,1004462,1324961,2360078,-0.9980696133850758,-0.9991516731435869,-0.99870131410911,BAD (>=2%),BAD (>=2%),BAD (>=2%)
2022,WA,11885,15684,27569,1,1751591,1261966,3026187,-0.9932147401990533,-0.9875717729320759,-0.9908898557822104,BAD (>=2%),BAD (>=2%),BAD (>=2%)
