year,state_po,check,official,ours,diff,rel,n_counties,status
2000,AL,state_total,1666272,1672551,6279,0.0037682923316241287,67,small (<0.5%)
2000,AZ,state_total,1532016,1534113,2097,0.001368784660212426,15,small (<0.5%)
2000,AR,state_total,921781,921781,0,0,75,ok (<0.05%)
2000,CA,state_total,10965856,10965856,0,0,58,ok (<0.05%)
2000,CO,state_total,1741368,1741365,-3,-1.722783466791626e-6,63,ok (<0.05%)
2000,CT,state_total,1459525,1459525,0,0,8,ok (<0.05%)
2000,DE,state_total,327622,327529,-93,-2.8386372099553755e-4,3,ok (<0.05%)
2000,FL,state_total,5963110,5960660,-2450,-4.108594340872464e-4,67,ok (<0.05%)
2000,GA,state_total,2596804,2596804,0,0,159,ok (<0.05%)
2000,ID,state_total,501621,501621,0,0,44,ok (<0.05%)
2000,IL,state_total,4742123,4742123,0,0,102,ok (<0.05%)
2000,IN,state_total,2199302,2199305,3,1.3640691455743686e-6,92,ok (<0.05%)
2000,IA,state_total,1315563,1315563,0,0,99,ok (<0.05%)
2000,KS,state_total,1072218,1072216,-2,-1.8652923192858168e-6,105,ok (<0.05%)
2000,KY,state_total,1544187,1544187,0,0,120,ok (<0.05%)
2000,LA,state_total,1765656,1765656,0,0,64,ok (<0.05%)
2000,ME,state_total,651817,651817,0,0,16,ok (<0.05%)
2000,MD,state_total,2025480,2025480,0,0,24,ok (<0.05%)
2000,MA,state_total,2702984,2702984,0,0,14,ok (<0.05%)
2000,MI,state_total,4232501,4232711,210,4.961605443211945e-5,83,ok (<0.05%)
2000,MN,state_total,2438685,2438685,0,0,87,ok (<0.05%)
2000,MS,state_total,994184,994926,742,7.463407176136409e-4,82,small (<0.5%)
2000,MO,state_total,2359892,2359892,0,0,115,ok (<0.05%)
2000,MT,state_total,410997,410986,-11,-2.6764185626659077e-5,56,ok (<0.05%)
2000,NE,state_total,697019,697019,0,0,93,ok (<0.05%)
2000,NV,state_total,608970,608970,0,0,17,ok (<0.05%)
2000,NH,state_total,569081,569081,0,0,10,ok (<0.05%)
2000,NJ,state_total,3187226,3187226,0,0,21,ok (<0.05%)
2000,NM,state_total,598605,598605,0,0,33,ok (<0.05%)
2000,NY,state_total,6821999,6821999,0,0,62,ok (<0.05%)
2000,NC,state_total,2911262,2911262,0,0,100,ok (<0.05%)
2000,ND,state_total,288256,288267,11,3.8160523978685616e-5,53,ok (<0.05%)
2000,OH,state_total,4705457,4705457,0,0,88,ok (<0.05%)
2000,OK,state_total,1234229,1234229,0,0,77,ok (<0.05%)
2000,OR,state_total,1533968,1533968,0,0,36,ok (<0.05%)
2000,PA,state_total,4913119,4912185,-934,-0.00019010327248332476,67,ok (<0.05%)
2000,RI,state_total,409112,409112,0,0,5,ok (<0.05%)
2000,SC,state_total,1382717,1383777,1060,7.666066158150945e-4,46,small (<0.5%)
2000,SD,state_total,316269,316269,0,0,66,ok (<0.05%)
2000,TN,state_total,2076181,2076181,0,0,95,ok (<0.05%)
2000,TX,state_total,6407637,6407637,0,0,254,ok (<0.05%)
2000,UT,state_total,770754,770754,0,0,29,ok (<0.05%)
2000,VT,state_total,294308,294308,0,0,14,ok (<0.05%)
2000,VA,state_total,2739447,2737915,-1532,-5.592369554877316e-4,134,small (<0.5%)
2000,WA,state_total,2487433,2488441,1008,4.052370455807252e-4,39,ok (<0.05%)
2000,WV,state_total,648124,648124,0,0,55,ok (<0.05%)
2000,WI,state_total,2598607,2598607,0,0,72,ok (<0.05%)
2000,WY,state_total,218351,218351,0,0,23,ok (<0.05%)
2004,AL,state_total,1883449,1883415,-34,-1.805198866547488e-5,67,ok (<0.05%)
2004,AZ,state_total,2012585,2012585,0,0,15,ok (<0.05%)
2004,AR,state_total,1054945,1053694,-1251,-0.0011858438117626985,75,small (<0.5%)
2004,CA,state_total,12421852,12383678,-38174,-0.003073132734152685,58,small (<0.5%)
2004,CO,state_total,2130330,2129630,-700,-3.2858758971614726e-4,64,ok (<0.05%)
2004,CT,state_total,1578769,1578769,0,0,8,ok (<0.05%)
2004,DE,state_total,375190,375170,-20,-5.330632479543698e-5,3,ok (<0.05%)
2004,FL,state_total,7609810,7609810,0,0,67,ok (<0.05%)
