year,state_po,off_tot,our_tot,n_counties,off_nom,our_nom,nominee_diff,other_diff,off_other_pct,our_other_pct
2008,MT,490302,496072,56,474430,476016,1586,4184,3.2,4
2008,NJ,3868237,3838498,21,3828629,3828629,0,-29739,1,0.3
2008,NY,7640931,7591233,62,7557716,7511998,-45718,-3980,1.1,1
2008,PA,6013272,5977981,67,5932248,5916457,-15791,-19500,1.3,1
2008,SD,381975,377708,66,373978,373978,0,-4267,2.1,1
2008,WY,254658,256035,23,247826,247826,0,1377,2.7,3.2
2016,AZ,2573165,2604277,15,2413610,2413568,-42,31154,6.2,7.3
2016,MA,3325046,3274555,14,3086089,3086089,0,-50491,7.2,5.8
2016,ME,747927,743941,16,693328,689663,-3665,-321,7.3,7.3
2016,PA,6165478,6115402,67,5897174,5897174,0,-50076,4.4,3.6
2016,WA,3317019,3209214,39,2964465,2964465,0,-107805,10.6,7.6
2020,MA,3631402,3658005,14,3549404,3549404,0,26603,2.3,3
2020,NY,8616861,8661735,62,8496883,8475783,-21100,65974,1.4,2.1
2020,VT,367428,370826,14,355524,355534,10,3388,3.2,4.1
2020,WY,276765,278503,23,267050,267050,0,1738,3.5,4.1
2024,ME,831375,824806,16,813629,807333,-6296,-273,2.1,2.1
2024,NE,952182,947159,93,934811,934811,0,-5023,1.8,1.3
2024,VA,4505941,4482576,133,4410480,4410480,0,-23365,2.1,1.6
