year,state_po,off_dem,off_rep,off_sum,off_total,our_dem,our_rep,our_total,n_counties,rel_dem,rel_rep,rel_tot,s_dem,s_rep,s_tot
2004,AL,595018,1242200,1837218,1837218,595018,1242200,1839066,67,0,0,0.0010058686557610475,ok (<0.05%),ok (<0.05%),small (<0.5%)
2004,AR,580973,458036,1039349,1039349,580973,458036,1039349,75,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,AZ,404507,1505372,1961677,1961677,404507,1505372,1961677,15,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CA,6955728,4555924,12053295,12053295,6955728,4555922,12053295,58,0,-4.389888856793924e-7,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CO,1081188,980668,2107554,2107554,1081188,980668,2107554,64,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,CT,945347,457749,1424726,1424726,945347,457749,1424726,8,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,FL,3590201,3672864,7429894,7429894,3590201,3672864,7429894,67,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,GA,1267690,1864202,3200981,3200981,1287690,1864202,3220981,159,0.0157767277488976,0,0.006248084571573527,check (0.5-2%),ok (<0.05%),check (0.5-2%)
2004,IA,412365,1038175,1478753,1478753,412365,1038175,1479228,99,0,0,3.2121659262905974e-4,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,ID,0,499796,503932,503932,0,499796,503932,44,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IL,3597456,1390690,5141520,5141520,3597456,1390690,5141520,102,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,IN,1496976,903913,2428233,2428233,1496976,903913,2428233,92,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,KS,310337,780863,1129022,1129022,310337,780863,1129022,105,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,KY,850855,873507,1724362,1724362,850855,873507,1724362,120,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,LA,877482,943014,1848056,1848056,542150,943014,1848056,64,-0.38215256837177286,0,0,BAD (>=2%),ok (<0.05%),ok (<0.05%)
2004,MD,1504691,783164,2321931,2321931,1504691,783055,2323183,24,0,-1.3917902252912545e-4,5.392063760723295e-4,ok (<0.05%),ok (<0.05%),small (<0.5%)
2004,MO,1158261,1518089,2706402,2706402,1063017,1474971,2566442,115,-0.0822301709200258,-0.028402814327750218,-0.05171441640968341,BAD (>=2%),BAD (>=2%),BAD (>=2%)
2004,NC,1632527,1791450,3472082,3472082,1632527,1791450,3472082,100,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,ND,212143,98553,310696,310696,212143,98553,310696,53,0,0,0,ok (<0.05%),ok (<0.05%),ok (<0.05%)
2004,NH,221549,434847,656498,656498,221549,434847,657086,10,0,0,8.956615252445552e-4,ok (<0.05%),ok (<0.05%),small (<0.5%)
