state,year,county_status,county_coverage_pct,county_source,district_status,district_source,notes
ALABAMA,1990,full,0.985,al_historical,none,,
ALABAMA,1992,full,1,al_historical,good,America Votes,
ALABAMA,1994,full,1,al_historical,good,America Votes,
ALABAMA,1996,full,1,al_historical,good,America Votes,
ALABAMA,1998,full,1,al_historical,good,America Votes,
ALABAMA,2000,full,1,al_historical,good,America Votes,
ALABAMA,2002,full,1,al_historical,good,America Votes,
ALABAMA,2004,full,1,al_historical,good,America Votes,
ALABAMA,2006,full,1,al_historical,good,America Votes,
ALABAMA,2008,full,1,al_historical,good,America Votes,
ALABAMA,2010,full,1,al_historical,good,America Votes,
ALABAMA,2012,full,1,al_historical,unreliable,"America Votes (unreliable, excluded)",
ALABAMA,2014,partial,0.955,al,unreliable,"America Votes (unreliable, excluded)",
ALABAMA,2016,full,1,MEDSL precinct,none,,
ALABAMA,2018,full,1,MEDSL precinct,none,,
ALABAMA,2020,full,1,MEDSL precinct,none,,
ALABAMA,2022,full,1,MEDSL precinct,none,,
ALABAMA,2024,full,1,MEDSL precinct,none,,
ALASKA,1990,none,0,,good,America Votes,
ALASKA,1992,none,0,,good,America Votes,
ALASKA,1994,none,0,,good,America Votes,
ALASKA,1996,none,0,,good,America Votes,
ALASKA,1998,none,0,,good,America Votes,
ALASKA,2000,none,0,,good,America Votes,
ALASKA,2002,none,0,,good,America Votes,
ALASKA,2004,none,0,,good,America Votes,
ALASKA,2006,none,0,,good,America Votes,
ALASKA,2008,none,0,,good,America Votes,
ALASKA,2010,none,0,,good,America Votes,
ALASKA,2012,none,0,,none,,
ALASKA,2014,none,0,,none,,
ALASKA,2016,none,0,,none,,
ALASKA,2018,none,0,,none,,
ALASKA,2020,none,0,,none,,
ALASKA,2022,none,0,,none,,
ALASKA,2024,partial,0.073,MEDSL precinct,none,,
ARIZONA,1990,full,1,az_1990,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
ARIZONA,1992,full,1,az_1992,none,,"County-level 2000-2014 DONE via OpenElections (github.com/openelections/openelections-data-az) -- azsos.gov's own site is Cloudflare-bot-blocked, but OpenElections is a separate GitHub archive, unaffected. America Votes district-level table still never located (parser gap, possibly an OCR'd map graphic in its place) -- moot for 2000-2014 now that county data exists directly; 1992-1998 (pre-OpenElections) would still need it or a manual browser visit."
